"Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G"
"265,Kyle Lowry\lowryky01,PG,31,TOR,21,21,32.7,5.3,11.8,.452,3.0,7.3,.412,2.3,4.5,.516,.579,2.8,3.0,.906,0.6,5.7,6.3,7.0,0.8,0.1,2.6,2.4,16.4"
"266,Timothe Luwawu-Cabarrot\luwawti01,SF,22,PHI,20,0,16.4,2.5,6.0,.412,1.2,3.5,.343,1.3,2.5,.510,.513,1.3,1.7,.758,0.4,1.4,1.7,0.9,0.4,0.1,0.9,2.0,7.4"
"267,Tyler Lydon\lydonty01,PF,21,DEN,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
"268,Trey Lyles\lylestr01,PF,22,DEN,16,0,10.1,1.7,3.5,.482,0.6,1.4,.391,1.1,2.1,.545,.563,0.6,0.8,.750,0.6,1.9,2.5,0.4,0.3,0.3,0.6,0.4,4.5"
"269,Shelvin Mack\macksh01,PG,27,ORL,18,2,17.9,1.7,4.3,.390,0.4,1.3,.304,1.3,3.0,.426,.435,0.7,0.9,.706,0.3,1.7,2.0,4.6,0.6,0.1,0.9,1.0,4.4"
"270,Josh Magette\magetjo01,PG,28,ATL,8,0,8.0,0.5,1.5,.333,0.1,0.5,.250,0.4,1.0,.375,.375,0.5,0.5,1.000,0.1,0.6,0.8,2.1,0.3,0.0,0.3,0.8,1.6"
"271,Ian Mahinmi\mahinia01,C,31,WAS,22,0,14.3,1.1,2.5,.446,0.0,0.0,,1.1,2.5,.446,.446,1.0,1.4,.733,1.8,2.0,3.7,0.5,0.4,0.5,1.1,3.1,3.3"
"272,Thon Maker\makerth01,C,20,MIL,20,8,18.9,1.8,4.4,.398,0.5,1.8,.286,1.3,2.7,.472,.455,0.8,1.2,.652,1.0,2.5,3.5,0.7,0.8,0.7,0.7,2.6,4.8"
"273,Boban Marjanovic\marjabo01,C,29,DET,4,0,6.3,1.8,3.0,.583,0.0,0.0,,1.8,3.0,.583,.583,1.5,2.5,.600,1.0,0.5,1.5,0.3,0.5,0.3,1.3,2.0,5.0"
"274,Lauri Markkanen\markkla01,PF,20,CHI,21,21,30.5,5.0,12.7,.393,2.4,7.0,.342,2.6,5.8,.455,.487,2.1,2.6,.818,1.0,7.0,8.0,1.4,0.5,0.6,1.3,1.8,14.5"
"275,Jarell Martin\martija01,PF,23,MEM,20,12,17.9,1.7,4.5,.367,0.3,1.4,.214,1.4,3.1,.435,.400,0.7,0.9,.778,1.1,2.4,3.4,0.5,0.6,0.8,0.9,2.7,4.3"
