"Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G"
"331,Zaza Pachulia\pachuza01,C,33,GSW,23,23,14.6,2.1,3.7,.558,0.0,0.0,,2.1,3.7,.558,.558,0.9,1.1,.808,1.1,3.8,4.9,1.6,0.8,0.3,1.3,1.7,5.1"
"332,Marcus Paige\paigema01,PG,24,CHO,1,0,3.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0"
"333,Georgios Papagiannis\papagge01,C,20,SAC,4,0,6.3,1.3,1.8,.714,0.0,0.0,,1.3,1.8,.714,.714,0.0,0.0,,0.3,1.0,1.3,0.3,0.3,0.3,0.3,0.3,2.5"
"334,Tony Parker\parketo01,PG,35,SAS,3,3,16.0,3.0,6.7,.450,0.0,0.3,.000,3.0,6.3,.474,.450,2.0,2.7,.750,0.3,0.7,1.0,4.3,0.0,0.0,1.3,1.0,8.0"
"335,Chandler Parsons\parsoch01,SF,29,MEM,18,5,20.1,3.3,6.4,.517,1.6,3.3,.483,1.7,3.1,.554,.642,0.5,0.8,.600,0.4,2.3,2.7,1.9,0.5,0.2,0.9,1.6,8.8"
"336,Patrick Patterson\pattepa01,PF,28,OKC,21,0,13.7,0.9,2.4,.353,0.6,1.8,.342,0.2,0.6,.385,.480,0.1,0.1,1.000,0.2,1.4,1.6,0.5,0.6,0.1,0.4,1.1,2.4"
"337,Brandon Paul\paulbr01,SG,26,SAS,22,0,11.3,1.2,2.5,.500,0.5,1.4,.400,0.7,1.1,.625,.611,0.4,0.7,.600,0.1,1.0,1.1,0.9,0.6,0.1,0.7,1.1,3.4"
"338,Chris Paul\paulch01,PG,32,HOU,7,7,28.1,3.9,9.3,.415,1.9,4.7,.394,2.0,4.6,.438,.515,1.6,1.9,.846,0.7,3.6,4.3,10.3,1.9,0.3,1.3,2.0,11.1"
"339,Elfrid Payton\paytoel01,PG,23,ORL,14,14,26.4,4.6,9.2,.504,0.6,1.4,.400,4.1,7.8,.523,.535,1.0,2.1,.467,1.2,2.6,3.8,6.9,1.6,0.4,2.8,2.2,10.9"
"340,Gary Payton\paytoga02,PG,25,MIL,7,2,6.4,0.9,2.1,.400,0.1,0.9,.167,0.7,1.3,.556,.433,0.0,0.0,,0.1,0.7,0.9,0.6,0.1,0.0,0.3,1.3,1.9"
"341,Alec Peters\peteral01,PF,22,PHO,2,0,7.0,0.5,2.0,.250,0.5,2.0,.250,0.0,0.0,,.375,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,1.0,0.0,0.5,1.5"
"342,Mason Plumlee\plumlma01,C,27,DEN,21,0,16.8,2.3,4.4,.527,0.0,0.0,.000,2.3,4.4,.533,.527,1.2,2.8,.424,1.5,2.9,4.4,1.5,0.8,0.9,1.4,1.9,5.9"
"343,Miles Plumlee\plumlmi01,C,29,ATL,2,0,6.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0"
"344,Jakob Poeltl\poeltja01,C,22,TOR,21,0,15.4,3.1,4.5,.702,0.0,0.0,,3.1,4.5,.702,.702,0.6,1.4,.433,2.0,2.3,4.3,0.4,0.4,1.0,0.9,2.1,6.9"
"345,Quincy Pondexter\pondequ01,SF,29,CHI,14,1,11.0,0.9,3.0,.310,0.2,1.4,.158,0.7,1.6,.435,.345,1.0,1.2,.824,0.5,0.9,1.4,0.4,0.5,0.1,0.6,1.5,3.1"
"346,Otto Porter\porteot01,SF,24,WAS,21,21,32.9,6.4,12.2,.521,1.9,4.0,.459,4.5,8.2,.552,.597,1.3,1.6,.824,1.2,5.8,7.0,1.7,1.7,0.5,0.8,2.2,16.0"
"347,Bobby Portis\portibo01,PF,22,CHI,12,0,22.0,4.6,10.0,.458,1.1,3.1,.351,3.5,6.9,.506,.513,1.9,2.4,.793,1.9,4.8,6.8,1.8,0.3,0.4,1.5,1.2,12.2"
"348,Kristaps Porzingis\porzikr01,PF,22,NYK,19,19,31.5,9.0,19.3,.467,1.9,4.9,.398,7.1,14.4,.491,.518,5.8,6.9,.841,1.2,5.6,6.8,1.1,0.5,2.1,2.4,2.8,25.8"
"349,Dwight Powell\poweldw01,C,26,DAL,21,0,17.2,2.3,4.7,.485,0.4,1.6,.242,1.9,3.1,.606,.525,0.8,1.3,.593,1.3,3.4,4.7,1.0,0.9,0.4,0.6,1.8,5.7"
"350,Norman Powell\powelno01,SG,24,TOR,17,12,22.4,3.5,8.0,.441,1.3,3.8,.344,2.2,4.2,.528,.522,1.2,1.5,.808,0.2,1.9,2.1,2.0,1.1,0.4,1.3,2.1,9.6"
"351,Alex Poythress\poythal01,PF,24,IND,7,0,2.9,0.3,0.4,.667,0.3,0.3,1.000,0.0,0.1,.000,1.000,0.0,0.0,,0.0,0.6,0.6,0.0,0.0,0.0,0.1,0.1,0.9"
"352,Jacob Pullen\pulleja01,PG,28,PHI,2,0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
"353,Zhou Qi\qizh01,C,22,HOU,11,0,5.3,0.4,1.8,.200,0.2,1.0,.182,0.2,0.8,.222,.250,0.5,0.5,.833,0.2,0.8,1.0,0.1,0.2,0.5,0.4,0.8,1.4"
"354,Ivan Rabb\rabbiv01,PF,20,MEM,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
"355,Julius Randle\randlju01,C,23,LAL,21,0,22.2,4.8,8.7,.555,0.2,0.9,.222,4.6,7.8,.591,.566,2.7,4.0,.675,1.3,5.2,6.6,1.7,0.4,0.9,2.3,3.4,12.5"
"356,Zach Randolph\randoza01,PF,36,SAC,20,20,24.5,5.7,11.8,.485,0.6,1.9,.324,5.1,9.9,.515,.511,1.5,2.0,.769,1.7,4.7,6.3,2.1,0.9,0.2,1.9,1.6,13.5"
"357,J.J. Redick\redicjj01,SG,33,PHI,19,19,33.2,5.5,13.1,.423,2.5,6.3,.403,3.0,6.8,.442,.520,1.8,2.0,.921,0.3,2.7,2.9,3.6,0.6,0.1,1.3,2.3,15.4"
"358,Willie Reed\reedwi02,C,27,LAC,19,0,11.1,2.3,3.3,.698,0.1,0.1,1.000,2.3,3.3,.694,.706,1.2,1.8,.629,0.9,2.4,3.3,0.3,0.2,0.4,0.5,1.8,5.8"
"359,Josh Richardson\richajo01,SF,24,MIA,22,22,32.5,3.7,9.3,.397,1.4,4.9,.287,2.3,4.4,.521,.473,0.8,1.1,.750,0.6,2.4,3.0,2.0,1.3,0.7,2.2,3.0,9.6"
"360,Malachi Richardson\richama01,SG,22,SAC,12,0,11.7,1.3,3.5,.357,0.6,1.5,.389,0.7,2.0,.333,.440,0.8,1.1,.769,0.2,0.8,0.9,0.5,0.5,0.0,0.3,1.2,3.9"
"361,Austin Rivers\riverau01,SG,25,LAC,20,18,33.6,5.0,12.8,.392,2.1,5.5,.382,2.9,7.3,.400,.475,1.7,2.6,.667,0.6,1.5,2.0,3.4,1.6,0.1,1.9,2.8,13.8"
"362,Andre Roberson\roberan03,SF,26,OKC,21,21,24.8,2.1,4.1,.506,0.3,1.4,.233,1.8,2.7,.649,.546,0.2,0.6,.333,1.8,2.4,4.1,1.1,0.7,0.8,1.0,1.9,4.7"
"363,Rajon Rondo\rondora01,PG,31,NOP,9,8,22.7,2.7,6.1,.436,0.3,1.8,.188,2.3,4.3,.538,.464,0.0,0.0,,0.4,2.7,3.1,6.6,0.6,0.2,1.8,1.9,5.7"
"364,Derrick Rose\rosede01,PG,29,CLE,7,7,26.9,5.6,11.9,.470,0.4,1.9,.231,5.1,10.0,.514,.488,2.7,3.0,.905,1.0,1.6,2.6,1.7,0.3,0.1,2.7,1.6,14.3"
"365,Terrence Ross\rosste01,SG,26,ORL,22,20,26.2,3.3,8.0,.407,1.3,3.9,.329,2.0,4.2,.478,.486,1.2,1.6,.743,0.5,2.7,3.2,1.6,1.2,0.5,1.1,2.0,9.0"
"366,Terry Rozier\roziete01,PG,23,BOS,23,0,23.3,3.3,8.7,.377,1.7,4.5,.369,1.6,4.2,.385,.472,1.2,1.4,.818,0.8,3.6,4.4,2.0,1.0,0.0,0.7,1.4,9.3"
"367,Ricky Rubio\rubiori01,PG,27,UTA,22,22,28.7,4.0,10.4,.389,1.2,4.1,.300,2.8,6.3,.446,.448,3.1,3.6,.873,0.5,3.2,3.7,5.0,1.7,0.2,3.1,2.7,12.5"
"368,D'Angelo Russell\russeda01,PG,21,BRK,12,12,27.8,7.9,17.1,.463,1.5,5.1,.295,6.4,12.0,.535,.507,3.6,5.3,.683,0.8,3.9,4.7,5.7,1.0,0.2,4.0,2.5,20.9"
"369,Domantas Sabonis\sabondo01,PF,21,IND,21,8,25.2,4.6,8.5,.536,0.2,0.5,.455,4.3,8.0,.542,.550,3.1,4.1,.756,2.8,5.9,8.7,2.2,0.3,0.3,2.0,3.0,12.5"
"370,JaKarr Sampson\sampsja02,SF,24,SAC,2,0,6.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,1.0,1.0,1.000,1.0,1.5,2.5,0.5,0.0,0.0,0.0,2.0,3.0"
"371,Dario Saric\saricda01,PF,23,PHI,21,16,28.2,4.1,10.1,.408,1.6,4.5,.347,2.6,5.6,.458,.486,1.3,1.7,.800,2.0,4.4,6.4,1.8,0.5,0.4,1.5,2.0,11.2"
"372,Tomas Satoransky\satorto01,SG,26,WAS,13,0,14.2,1.7,3.4,.500,0.4,0.8,.500,1.3,2.6,.500,.557,1.0,1.3,.765,0.7,1.4,2.1,2.6,0.5,0.0,0.5,1.4,4.8"
"373,Dennis Schroder\schrode01,PG,24,ATL,19,19,32.2,7.9,17.2,.459,1.2,3.5,.343,6.7,13.7,.488,.494,3.1,3.5,.881,0.7,2.1,2.8,6.7,1.2,0.0,3.1,1.8,20.1"
"374,Mike Scott\scottmi01,PF,29,WAS,19,0,17.9,3.2,6.3,.513,0.7,1.9,.389,2.5,4.4,.566,.571,0.8,1.1,.750,0.6,2.8,3.4,0.6,0.3,0.2,1.1,1.7,7.9"
"375,Thabo Sefolosha\sefolth01,SF,33,UTA,22,1,21.0,2.9,5.7,.500,0.9,2.1,.413,2.0,3.6,.550,.575,1.1,1.3,.862,0.6,3.6,4.3,0.8,1.4,0.1,0.8,1.4,7.7"
"376,Wayne Selden\seldewa01,SG,23,MEM,2,0,9.5,1.0,2.0,.500,0.5,1.0,.500,0.5,1.0,.500,.625,1.0,1.0,1.000,0.0,1.0,1.0,2.0,0.5,0.0,1.5,0.0,3.5"
"377,Ramon Sessions\sessira01,PG,31,NYK,8,3,16.4,1.8,4.9,.359,0.1,1.1,.111,1.6,3.8,.433,.372,1.5,1.9,.800,0.1,1.5,1.6,3.1,0.9,0.1,1.5,1.5,5.1"
"378,Iman Shumpert\shumpim01,SG,27,CLE,13,6,20.8,1.7,4.4,.386,0.5,1.9,.280,1.2,2.5,.469,.447,0.8,1.2,.733,0.5,2.5,3.1,1.3,0.7,0.4,1.3,1.5,4.8"
"379,Pascal Siakam\siakapa01,PF,23,TOR,20,4,21.2,3.4,6.4,.531,0.5,2.2,.209,3.0,4.3,.694,.566,0.3,0.9,.278,1.0,3.6,4.5,1.8,0.9,0.5,0.9,1.7,7.5"
"380,Ben Simmons\simmobe01,PG,21,PHI,20,20,35.6,7.7,15.1,.507,0.0,0.4,.000,7.7,14.7,.520,.507,3.3,5.8,.560,2.4,7.0,9.4,7.2,2.3,0.8,3.7,2.5,18.6"
"381,Jonathon Simmons\simmojo02,SG,28,ORL,23,4,26.1,5.0,10.5,.481,0.9,2.5,.345,4.2,8.0,.525,.523,3.2,4.3,.745,0.7,2.1,2.8,1.9,0.7,0.1,2.1,2.5,14.1"
"382,Kobi Simmons\simmoko01,PG,20,MEM,1,0,5.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0"
"383,Kyle Singler\singlky01,SF,29,OKC,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0"
"384,Marcus Smart\smartma01,SG,23,BOS,21,3,30.9,3.1,9.9,.313,1.4,4.8,.290,1.7,5.1,.333,.382,2.0,2.8,.729,1.0,3.3,4.2,5.3,1.3,0.5,2.3,2.5,9.6"
"385,Dennis Smith\smithde03,PG,20,DAL,20,20,28.4,5.7,14.7,.388,1.5,5.1,.297,4.2,9.7,.435,.439,1.5,2.1,.690,0.8,3.1,3.9,4.3,0.9,0.3,3.2,1.9,14.4"
"386,Ish Smith\smithis01,PG,29,DET,21,0,19.9,4.3,8.5,.508,0.2,0.9,.222,4.1,7.7,.540,.520,0.8,1.2,.640,0.3,2.0,2.2,4.1,0.3,0.2,1.1,1.7,9.6"
"387,J.R. Smith\smithjr01,SG,32,CLE,22,19,31.0,3.0,8.0,.377,1.8,5.7,.320,1.2,2.3,.520,.491,0.3,0.5,.583,0.3,2.5,2.8,2.0,1.0,0.0,1.0,2.5,8.1"
"388,Jason Smith\smithja02,C,31,WAS,8,2,9.5,0.9,3.1,.280,0.1,1.6,.077,0.8,1.5,.500,.300,0.9,0.9,1.000,0.8,0.8,1.5,0.1,0.0,0.6,0.4,1.8,2.8"
"389,Josh Smith\smithjo03,PF,32,NOP,3,0,4.0,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.0,0.0,,1.0,0.3,1.3,0.0,0.0,0.0,0.0,1.0,0.7"
"390,Tony Snell\snellto01,SG,26,MIL,20,18,31.9,3.3,6.1,.545,1.7,3.5,.486,1.6,2.6,.627,.686,0.6,0.8,.750,0.2,2.0,2.2,1.8,0.8,0.4,0.6,1.7,8.9"
"391,Marreese Speights\speigma01,C,30,ORL,17,0,12.0,3.0,6.8,.440,2.0,4.8,.420,1.0,2.1,.486,.586,0.4,0.7,.583,0.4,2.0,2.4,0.5,0.2,0.3,0.5,1.8,8.4"
"392,Nik Stauskas\stausni01,SG,24,PHI,4,0,7.0,0.3,0.5,.500,0.0,0.0,,0.3,0.5,.500,.500,0.5,0.5,1.000,0.0,0.3,0.3,0.0,0.8,0.0,0.5,0.5,1.0"
"393,Lance Stephenson\stephla01,SG,27,IND,23,1,21.3,3.1,7.1,.439,0.7,2.1,.327,2.4,5.0,.487,.488,1.1,1.9,.581,0.9,4.0,5.0,2.6,0.6,0.2,1.5,1.8,8.0"
"394,Julyan Stone\stoneju01,SG,29,CHO,2,0,9.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,2.5,2.5,1.0,1.0,0.0,1.0,1.5,3.0"
"395,Caleb Swanigan\swanica01,PF,20,POR,13,3,9.8,1.1,3.1,.350,0.1,0.4,.200,1.0,2.7,.371,.363,0.6,1.0,.615,0.9,1.8,2.8,0.7,0.3,0.2,0.8,1.8,2.8"
"396,Jayson Tatum\tatumja01,SF,19,BOS,23,23,30.5,4.6,9.3,.493,1.5,3.0,.486,3.1,6.2,.497,.573,3.1,3.8,.828,0.9,4.4,5.3,1.5,1.0,0.8,1.4,2.4,13.7"
"397,Isaiah Taylor\taylois01,PG,23,ATL,14,0,16.0,2.1,4.6,.453,0.4,1.1,.375,1.6,3.4,.479,.500,1.1,1.7,.667,0.1,1.1,1.1,2.2,0.5,0.3,1.1,1.1,5.7"
"398,Jeff Teague\teaguje01,PG,29,MIN,19,19,33.9,4.8,11.2,.427,1.5,3.7,.414,3.3,7.5,.434,.495,2.7,3.4,.800,0.4,2.7,3.1,7.6,1.7,0.4,3.3,2.5,13.8"
"399,Mirza Teletovic\teletmi01,PF,32,MIL,10,0,15.9,2.5,5.7,.439,2.1,4.5,.467,0.4,1.2,.333,.623,0.0,0.0,,0.3,2.0,2.3,1.0,0.4,0.1,0.7,1.4,7.1"
"400,Garrett Temple\templga01,SG,31,SAC,21,15,25.8,2.9,7.3,.399,1.5,3.7,.410,1.4,3.6,.387,.503,1.0,1.3,.786,0.2,2.1,2.4,1.6,1.0,0.5,1.2,2.1,8.4"
"401,Milos Teodosic\teodomi01,PG,30,LAC,2,2,16.0,2.0,6.0,.333,1.5,3.5,.429,0.5,2.5,.200,.458,0.0,0.0,,0.0,0.5,0.5,4.0,0.0,0.5,1.5,1.5,5.5"
"402,Jason Terry\terryja01,SG,40,MIL,8,0,9.6,0.5,1.9,.267,0.1,1.3,.100,0.4,0.6,.600,.300,0.3,0.3,1.000,0.0,0.9,0.9,0.8,0.5,0.1,0.4,0.4,1.4"
"403,Daniel Theis\theisda01,C,25,BOS,21,2,12.5,1.7,3.0,.556,0.1,0.5,.273,1.5,2.5,.615,.579,0.8,1.0,.773,1.4,2.7,4.1,0.4,0.4,0.8,1.2,2.4,4.3"
"404,Lance Thomas\thomala01,PF,29,NYK,18,0,14.6,1.2,3.3,.373,0.5,1.3,.391,0.7,2.0,.361,.449,0.7,0.9,.765,0.7,1.9,2.6,0.4,0.2,0.0,0.6,1.5,3.7"
"405,Klay Thompson\thompkl01,SG,27,GSW,23,23,33.1,8.0,16.1,.500,3.5,7.4,.468,4.6,8.7,.528,.608,1.0,1.0,.917,0.5,3.8,4.3,2.5,0.7,0.8,1.5,2.0,20.5"
"406,Tristan Thompson\thomptr01,C,26,CLE,8,5,21.6,1.9,3.3,.577,0.0,0.0,,1.9,3.3,.577,.577,0.6,1.4,.455,2.1,4.3,6.4,0.4,0.1,0.5,0.8,2.0,4.4"
"407,Sindarius Thornwell\thornsi01,SG,23,LAC,20,6,16.2,1.6,3.6,.451,0.5,1.1,.455,1.1,2.5,.449,.521,0.7,1.1,.667,0.4,0.6,1.0,0.7,0.6,0.4,0.8,2.2,4.4"
"408,Anthony Tolliver\tollian01,PF,32,DET,18,0,18.2,2.2,5.0,.433,1.5,4.0,.375,0.7,1.0,.667,.583,1.1,1.5,.704,0.7,2.2,2.9,1.1,0.6,0.3,0.6,1.5,6.9"
"409,Karl-Anthony Towns\townska01,C,22,MIN,23,23,34.4,7.7,14.7,.527,1.3,3.6,.361,6.4,11.1,.580,.571,3.7,4.3,.869,2.8,8.8,11.6,1.5,0.6,1.3,2.1,3.5,20.5"
"410,P.J. Tucker\tuckepj01,SF,32,HOU,21,2,27.5,2.0,5.0,.410,1.3,3.6,.373,0.7,1.4,.500,.543,0.8,1.0,.810,1.3,4.7,6.0,1.0,1.3,0.3,1.1,2.7,6.2"
"411,Evan Turner\turneev01,SF,29,POR,22,1,26.4,3.1,7.9,.391,0.4,1.8,.205,2.7,6.1,.444,.414,1.5,1.7,.868,0.5,3.6,4.0,2.3,0.7,0.5,1.7,2.2,8.0"
"412,Myles Turner\turnemy01,C,21,IND,16,15,29.2,5.5,11.3,.486,0.9,2.5,.375,4.6,8.8,.518,.528,2.2,2.8,.795,1.0,6.5,7.5,1.3,0.3,2.4,1.4,2.9,14.1"
"413,Ekpe Udoh\udohek01,C,30,UTA,23,0,15.1,0.9,2.0,.447,0.0,0.0,,0.9,2.0,.447,.447,0.7,0.9,.800,1.3,1.1,2.4,1.3,0.7,1.4,0.4,2.2,2.5"
"414,Tyler Ulis\ulisty01,PG,22,PHO,22,10,22.6,3.0,7.8,.386,0.4,1.5,.242,2.6,6.3,.420,.409,1.6,2.0,.814,0.2,1.6,1.8,3.9,1.1,0.0,2.0,1.5,8.0"
"415,Jonas Valanciunas\valanjo01,C,25,TOR,17,17,20.3,4.2,7.5,.563,0.1,0.3,.200,4.2,7.2,.577,.566,1.9,2.2,.868,2.2,4.8,7.0,0.8,0.2,0.6,1.6,2.9,10.5"
"416,Denzel Valentine\valende01,SG,24,CHI,21,10,29.1,3.7,9.8,.380,2.2,5.5,.409,1.5,4.3,.344,.495,0.2,0.3,.667,0.8,4.6,5.4,3.1,0.9,0.1,1.0,2.0,9.9"
"417,Fred VanVleet\vanvlfr01,PG,23,TOR,21,0,16.2,2.2,5.6,.398,0.8,2.2,.362,1.4,3.4,.423,.470,0.8,0.9,.842,0.2,1.5,1.7,3.0,0.9,0.2,0.8,1.4,6.0"
"418,Rashad Vaughn\vaughra01,SG,21,MIL,10,0,6.6,0.9,2.1,.429,0.5,1.2,.417,0.4,0.9,.444,.548,0.0,0.0,,0.0,0.3,0.3,0.4,0.2,0.2,0.1,0.5,2.3"
"419,Noah Vonleh\vonleno01,PF,22,POR,15,11,22.7,2.1,3.9,.542,0.0,0.0,,2.1,3.9,.542,.542,1.0,1.3,.750,1.9,6.1,7.9,0.6,0.3,0.5,0.7,2.3,5.3"
"420,Nikola Vucevic\vucevni01,C,27,ORL,23,23,29.6,6.7,13.9,.481,1.5,4.1,.358,5.2,9.8,.533,.534,1.1,1.5,.765,1.4,6.9,8.3,3.0,0.9,0.9,1.7,2.3,16.0"
"421,Dwyane Wade\wadedw01,SG,36,CLE,21,3,23.5,4.3,10.0,.435,0.4,1.2,.346,3.9,8.7,.448,.457,2.0,2.8,.729,0.7,3.1,3.9,3.9,1.0,0.9,2.0,2.1,11.1"
"422,Dion Waiters\waitedi01,SG,26,MIA,20,20,31.4,6.0,15.0,.400,2.1,6.5,.323,3.9,8.5,.459,.470,1.5,2.1,.732,0.4,2.3,2.7,3.8,0.9,0.3,2.8,2.3,15.6"
"423,Kemba Walker\walkeke02,PG,27,CHO,19,19,35.2,7.3,16.5,.443,2.4,6.5,.366,4.9,10.1,.492,.514,5.3,6.2,.856,0.6,3.2,3.8,6.2,0.6,0.3,2.2,1.6,22.3"
"424,John Wall\walljo01,PG,27,WAS,16,16,34.4,6.9,16.0,.434,1.2,3.8,.317,5.8,12.3,.469,.471,5.3,7.0,.750,0.4,3.0,3.4,9.2,1.1,1.1,3.0,2.1,20.3"
"425,Taurean Waller-Prince\princta02,SF,23,ATL,21,21,30.9,4.9,11.4,.431,1.7,4.0,.429,3.2,7.4,.432,.506,1.0,1.5,.710,0.9,4.1,5.0,2.4,1.2,0.5,2.4,2.2,12.6"
"426,Derrick Walton\waltode01,PG,22,MIA,4,0,3.0,0.0,0.8,.000,0.0,0.3,.000,0.0,0.5,.000,.000,0.5,0.5,1.000,0.0,0.5,0.5,0.0,0.3,0.3,0.0,0.0,0.5"
"427,T.J. Warren\warretj01,SF,24,PHO,23,23,30.9,7.6,15.3,.496,0.2,1.4,.121,7.4,13.8,.535,.501,3.1,4.1,.755,2.0,3.8,5.8,1.2,0.8,0.9,1.3,2.3,18.4"
"428,Briante Weber\weberbr01,PG,25,HOU,3,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.7,0.7,0.3,0.3,0.0,0.3,0.3,0.0"
"429,David West\westda01,C,37,GSW,21,0,11.9,2.8,4.3,.656,0.1,0.3,.500,2.7,4.0,.667,.672,0.6,0.8,.765,0.8,2.4,3.2,1.6,0.6,1.1,1.1,1.4,6.4"
"430,Russell Westbrook\westbru01,PG,29,OKC,21,21,35.4,7.7,19.2,.400,1.9,5.7,.325,5.8,13.5,.431,.448,4.8,6.7,.721,1.6,7.6,9.1,9.7,2.2,0.1,4.8,2.7,22.0"
"431,Derrick White\whitede01,PG,23,SAS,4,0,5.3,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.3,1.0,.250,0.5,1.0,1.5,0.5,0.3,0.3,0.0,0.3,0.3"
"432,Okaro White\whiteok01,PF,25,MIA,6,4,13.3,1.2,2.7,.438,0.7,1.8,.364,0.5,0.8,.600,.563,0.3,0.5,.667,0.5,1.3,1.8,0.3,0.2,0.2,0.2,1.0,3.3"
"433,Isaiah Whitehead\whiteis01,PG,22,BRK,7,0,12.7,2.9,6.1,.465,0.3,1.1,.250,2.6,5.0,.514,.488,0.9,1.4,.600,0.1,1.4,1.6,1.9,0.7,0.3,2.3,1.9,6.9"
"434,Hassan Whiteside\whiteha01,C,28,MIA,15,15,26.8,6.2,10.7,.581,0.1,0.1,1.000,6.1,10.5,.576,.588,2.4,3.5,.692,2.8,9.9,12.7,0.4,0.9,1.6,1.5,2.1,14.9"
"435,Andrew Wiggins\wiggian01,SF,22,MIN,23,23,36.9,7.1,15.5,.459,1.5,4.4,.337,5.7,11.1,.508,.507,3.5,5.5,.635,1.0,3.1,4.1,2.0,1.3,0.7,1.9,1.7,19.2"
"436,Jacob Wiley\wileyja01,PF,23,BRK,4,0,8.0,0.3,1.0,.250,0.3,0.5,.500,0.0,0.5,.000,.375,0.3,0.5,.500,0.5,2.3,2.8,0.5,0.3,0.0,0.0,1.0,1.0"
"437,Damien Wilkins\wilkida02,SF,38,IND,12,0,6.4,0.7,1.3,.500,0.0,0.5,.000,0.7,0.8,.800,.500,0.0,0.0,,0.3,0.4,0.8,0.5,0.2,0.0,0.3,0.3,1.3"
"438,C.J. Williams\willicj01,SG,27,LAC,8,0,7.6,0.9,1.9,.467,0.1,0.8,.167,0.8,1.1,.667,.500,0.1,0.3,.500,0.0,1.0,1.0,0.8,0.1,0.0,0.3,0.4,2.0"
"439,Lou Williams\willilo02,SG,31,LAC,20,3,29.3,6.3,13.8,.455,2.3,5.9,.390,4.0,7.9,.503,.538,3.9,4.4,.897,0.5,2.2,2.7,4.1,1.1,0.2,2.9,1.3,18.7"
"440,Marvin Williams\willima02,PF,31,CHO,21,21,25.7,3.2,6.8,.472,1.6,3.6,.453,1.6,3.2,.493,.592,1.1,1.3,.852,0.7,3.5,4.2,1.0,0.8,0.4,0.5,1.3,9.1"
"441,Troy Williams\willitr02,SF,23,HOU,4,0,4.3,0.5,2.3,.222,0.0,1.3,.000,0.5,1.0,.500,.222,0.3,0.8,.333,0.3,0.8,1.0,0.3,0.3,0.0,0.3,0.5,1.3"
"442,D.J. Wilson\wilsodj01,PF,21,MIL,9,0,3.9,0.4,1.0,.444,0.0,0.3,.000,0.4,0.7,.667,.444,0.0,0.0,,0.0,0.6,0.6,0.1,0.0,0.0,0.1,0.3,0.9"
"443,Jamil Wilson\wilsoja02,SF,27,LAC,2,0,3.0,1.0,1.5,.667,1.0,1.5,.667,0.0,0.0,,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,3.0"
"444,Justise Winslow\winslju01,SF,21,MIA,22,14,23.3,2.7,6.5,.420,0.4,1.3,.310,2.3,5.2,.447,.451,0.7,1.1,.667,1.0,4.8,5.8,1.8,0.8,0.3,1.0,2.0,6.6"
"445,Jeff Withey\witheje01,C,27,DAL,8,0,3.8,0.5,1.5,.333,0.3,1.0,.250,0.3,0.5,.500,.417,0.1,0.3,.500,0.0,0.9,0.9,0.0,0.0,0.3,0.1,0.3,1.4"
"446,Nate Wolters\woltena01,PG,26,UTA,4,0,2.8,0.0,0.8,.000,0.0,0.0,,0.0,0.8,.000,.000,0.0,0.0,,0.3,0.3,0.5,0.3,0.0,0.0,0.0,0.3,0.0"
"447,Brandan Wright\wrighbr03,PF,30,MEM,16,0,14.3,2.2,3.9,.556,0.0,0.0,,2.2,3.9,.556,.556,0.9,1.4,.652,1.3,2.2,3.4,0.3,0.5,1.1,0.2,1.0,5.3"
"448,Delon Wright\wrighde01,PG,25,TOR,14,0,20.9,2.4,4.6,.523,0.6,2.0,.286,1.9,2.6,.703,.585,2.1,2.3,.938,0.4,2.0,2.4,2.6,0.9,0.4,1.8,1.4,7.6"
