"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"114,Dewayne Dedmon\dedmode01,C,28,ATL,20,487,18.2,.661,.190,.209,9.0,27.3,18.1,9.3,0.8,3.2,17.3,18.3,,0.9,0.4,1.3,.132,,0.3,0.7,1.0,0.4"
"115,Sam Dekker\dekkesa01,SF,23,LAC,17,172,10.5,.462,.482,.143,6.4,15.8,11.0,6.2,2.3,1.5,11.8,17.1,,-0.1,0.2,0.1,.025,,-2.3,-1.0,-3.3,-0.1"
"116,Malcolm Delaney\delanma01,PG,28,ATL,17,347,7.7,.481,.412,.282,1.6,9.6,5.6,13.7,2.0,0.5,18.0,14.8,,-0.2,0.1,-0.1,-0.008,,-3.2,-0.8,-4.0,-0.2"
"117,Matthew Dellavedova\dellama01,PG,27,MIL,13,260,7.7,.501,.439,.167,3.2,9.6,6.4,22.0,0.6,0.0,22.9,16.2,,-0.1,0.1,0.0,.003,,-2.7,-3.4,-6.1,-0.3"
"118,Luol Deng\denglu01,SF,32,LAL,1,13,5.6,.500,.000,.000,0.0,0.0,0.0,10.1,3.6,0.0,33.3,9.6,,0.0,0.0,0.0,-0.007,,-7.2,-1.2,-8.3,0.0"
"119,DeMar DeRozan\derozde01,SG,28,TOR,21,720,21.7,.566,.155,.410,3.0,11.3,7.3,22.3,1.8,0.5,11.6,30.1,,1.8,0.7,2.4,.162,,2.3,-0.8,1.6,0.7"
"120,Cheick Diallo\diallch01,PF,21,NOP,14,109,9.3,.563,.000,.188,8.3,24.7,16.7,4.1,0.0,0.8,16.8,16.6,,0.0,0.1,0.1,.040,,-5.4,-2.6,-8.0,-0.2"
"121,Gorgui Dieng\dienggo01,C,28,MIN,20,333,16.3,.572,.200,.390,11.7,19.7,15.7,10.7,1.6,0.5,14.0,17.9,,0.7,0.2,0.9,.125,,1.3,-0.9,0.4,0.2"
"122,Spencer Dinwiddie\dinwisp01,PG,24,BRK,20,519,17.8,.531,.476,.306,2.7,9.3,5.9,35.2,1.4,0.9,8.6,20.4,,1.4,0.2,1.6,.150,,3.6,-2.0,1.5,0.5"
"123,Tyler Dorsey\dorsety01,SG,21,ATL,7,46,3.7,.450,.688,.250,2.4,12.5,7.4,6.2,0.0,0.0,18.4,20.8,,-0.1,0.0,-0.1,-0.113,,-5.6,-4.8,-10.4,-0.1"
"124,Damyean Dotson\dotsoda01,SG,23,NYK,13,87,10.5,.542,.400,.033,2.7,15.0,9.1,8.6,0.0,0.0,9.0,16.8,,0.1,0.0,0.1,.060,,-1.2,-2.8,-4.0,0.0"
"125,Goran Dragic\dragigo01,PG,31,MIA,22,715,16.4,.552,.318,.267,2.5,10.9,6.7,24.3,1.2,0.2,13.2,25.1,,0.9,0.6,1.5,.103,,1.2,-0.9,0.2,0.4"
"126,Andre Drummond\drumman01,C,24,DET,21,699,22.6,.575,.005,.445,17.0,35.8,26.1,17.4,2.2,3.3,21.4,20.8,,1.3,1.4,2.7,.184,,0.8,5.3,6.1,1.4"
"127,Jared Dudley\dudleja01,PF,32,PHO,8,117,13.6,.656,.619,.286,3.5,13.4,8.4,18.6,2.4,1.3,17.5,10.1,,0.2,0.1,0.3,.129,,1.1,0.0,1.1,0.1"
"128,Kris Dunn\dunnkr01,PG,23,CHI,17,456,12.8,.483,.204,.102,2.4,16.3,9.0,28.9,3.8,1.0,20.6,24.9,,-0.8,0.6,-0.2,-0.017,,-2.9,1.6,-1.3,0.1"
"129,Kevin Durant\duranke01,SF,29,GSW,18,619,24.1,.644,.338,.273,2.0,17.7,10.5,21.7,1.0,4.9,14.9,28.4,,1.7,0.8,2.5,.196,,3.6,0.8,4.4,1.0"
"130,Henry Ellenson\ellenhe01,PF,21,DET,8,84,10.4,.482,.487,.026,1.3,30.9,15.6,9.1,1.8,0.0,13.2,23.7,,-0.1,0.1,0.0,.010,,-4.5,-1.2,-5.6,-0.1"
"131,Wayne Ellington\ellinwa01,SG,30,MIA,22,429,14.7,.628,.894,.113,1.0,9.5,5.3,8.1,1.5,0.2,5.7,16.4,,0.9,0.4,1.3,.141,,3.1,-1.4,1.7,0.4"
"132,Joel Embiid\embiijo01,C,23,PHI,18,532,24.1,.573,.170,.457,9.0,30.2,19.9,19.7,1.1,5.1,16.8,33.7,,0.7,1.0,1.7,.153,,0.8,3.0,3.8,0.8"
"133,James Ennis\ennisja01,SF,27,MEM,20,517,11.7,.630,.374,.313,5.1,11.9,8.5,7.5,1.3,0.9,13.1,11.6,,0.8,0.4,1.2,.113,,0.0,0.3,0.3,0.3"
"134,Tyler Ennis\ennisty01,PG,23,LAL,10,56,11.4,.434,.211,.211,1.9,11.1,6.5,19.9,3.3,1.4,12.6,17.7,,0.0,0.1,0.1,.055,,-4.2,0.7,-3.4,0.0"
"135,Jawun Evans\evansja01,PG,21,LAC,13,158,8.0,.450,.218,.345,0.7,9.3,4.9,15.2,2.5,0.5,13.6,20.2,,-0.1,0.1,0.0,-0.005,,-4.1,-2.0,-6.1,-0.2"
"136,Tyreke Evans\evansty01,SG,28,MEM,21,599,21.2,.580,.319,.269,4.0,15.8,9.9,24.0,1.8,1.1,11.9,27.3,,1.1,0.6,1.8,.143,,3.7,-0.3,3.4,0.8"
"137,Kenneth Faried\farieke01,PF,28,DEN,18,237,19.1,.604,.000,.446,13.8,21.1,17.4,3.9,1.2,1.5,11.9,18.1,,0.6,0.2,0.8,.161,,-0.6,-2.2,-2.9,-0.1"
"138,Derrick Favors\favorde01,PF,26,UTA,23,647,20.1,.606,.067,.291,9.4,18.4,13.8,11.4,1.5,3.1,12.8,20.2,,1.5,0.9,2.4,.175,,1.0,2.0,3.0,0.8"
"139,Kay Felder\feldeka01,PG,22,CHI,12,126,2.8,.378,.270,.159,0.8,8.9,4.6,26.3,0.8,0.7,18.2,28.8,,-0.5,0.0,-0.5,-0.194,,-8.4,-4.2,-12.5,-0.3"
"140,Cristiano Felicio\feliccr01,C,25,CHI,19,294,9.9,.618,.000,.315,8.3,13.4,10.7,6.9,0.7,0.9,19.6,11.4,,0.3,0.1,0.4,.063,,-3.3,-0.5,-3.8,-0.1"
"141,Raymond Felton\feltora01,PG,33,OKC,21,360,14.2,.507,.348,.121,1.2,10.2,5.5,22.1,2.2,0.5,7.9,18.2,,0.5,0.4,0.9,.121,,-0.9,-1.5,-2.4,0.0"
"142,Terrance Ferguson\fergute01,SG,19,OKC,14,89,0.7,.371,.500,.111,2.5,4.0,3.2,1.6,1.1,1.1,9.6,10.2,,-0.1,0.1,0.0,-0.018,,-6.1,-1.4,-7.5,-0.1"
"143,Yogi Ferrell\ferreyo01,SG,24,DAL,22,622,9.3,.546,.491,.307,1.2,9.1,4.9,10.9,1.4,0.5,14.0,15.5,,0.2,0.4,0.6,.045,,-1.5,-0.3,-1.8,0.0"
"144,Dorian Finney-Smith\finnedo01,PF,24,DAL,8,94,5.5,.568,.636,.091,5.5,6.1,5.8,8.2,0.0,1.0,23.4,14.3,,0.0,0.0,0.0,-0.003,,-2.8,-1.8,-4.6,-0.1"
"145,Bryn Forbes\forbebr01,SG,24,SAS,22,341,11.5,.558,.475,.098,2.0,7.2,4.6,7.4,0.7,0.5,5.9,17.8,,0.4,0.3,0.7,.100,,0.0,-2.6,-2.7,-0.1"
"146,Evan Fournier\fournev01,SF,25,ORL,23,737,16.8,.594,.399,.208,2.0,8.9,5.5,15.3,1.6,0.6,11.5,23.0,,1.3,0.2,1.5,.096,,2.5,-2.1,0.4,0.5"
"147,De'Aaron Fox\foxde01,PG,20,SAC,22,580,10.3,.448,.132,.197,2.1,12.1,6.8,26.1,1.7,1.0,16.2,22.9,,-0.7,0.2,-0.5,-0.040,,-3.4,-1.5,-4.9,-0.4"
"148,Tim Frazier\fraziti01,PG,27,WAS,22,386,10.4,.487,.351,.182,2.1,13.1,7.7,30.3,2.6,0.7,29.0,13.3,,0.0,0.5,0.5,.063,,-2.2,1.0,-1.2,0.1"
"149,Channing Frye\fryech01,C,34,CLE,20,237,13.8,.634,.559,.074,2.5,21.5,12.3,8.0,1.2,1.5,10.2,14.5,,0.4,0.2,0.6,.123,,0.3,-0.9,-0.6,0.1"
"150,Markelle Fultz\fultzma01,SG,19,PHI,4,76,3.8,.372,.000,.444,4.2,8.0,6.1,12.7,1.2,1.1,15.7,20.8,,-0.2,0.1,-0.1,-0.084,,-8.0,-1.1,-9.1,-0.1"
"151,Danilo Gallinari\gallida01,SF,29,LAC,9,287,11.2,.484,.467,.252,0.8,15.4,8.0,14.2,1.0,0.6,9.2,19.8,,0.1,0.1,0.3,.044,,-1.1,-2.1,-3.2,-0.1"
"152,Langston Galloway\gallola01,SG,26,DET,20,282,14.1,.579,.663,.119,0.4,13.0,6.5,7.8,1.4,0.9,5.3,17.5,,0.5,0.3,0.7,.125,,1.0,-1.4,-0.4,0.1"
"153,Marc Gasol\gasolma01,C,33,MEM,21,722,17.7,.521,.279,.322,3.7,26.9,15.2,22.3,0.8,4.2,14.7,27.9,,0.1,1.0,1.2,.078,,-0.8,2.2,1.4,0.6"
"154,Pau Gasol\gasolpa01,C,37,SAS,22,568,20.7,.590,.270,.308,6.5,27.7,17.1,19.7,0.8,4.3,12.9,19.0,,1.3,1.1,2.4,.203,,1.4,3.2,4.6,1.0"
"155,Rudy Gay\gayru01,SF,31,SAS,21,461,18.4,.557,.226,.312,5.8,19.9,12.8,12.1,2.3,2.2,14.1,25.6,,0.4,0.9,1.3,.133,,-0.6,1.0,0.4,0.3"
"156,Paul George\georgpa01,SF,27,OKC,21,781,18.9,.554,.447,.218,2.2,16.0,8.9,15.5,3.5,1.6,11.4,25.2,,1.1,1.4,2.5,.156,,1.9,1.3,3.2,1.0"
"157,Marcus Georges-Hunt\georgma01,SG,23,MIN,9,15,8.6,.500,.250,.000,7.6,0.0,3.9,9.6,3.3,0.0,20.0,14.6,,0.0,0.0,0.0,.011,,-1.5,-1.4,-2.9,0.0"
"158,Taj Gibson\gibsota01,PF,32,MIN,23,750,14.7,.597,.086,.259,9.3,19.7,14.4,6.8,1.5,1.4,13.8,14.0,,1.3,0.5,1.8,.113,,0.8,0.6,1.4,0.7"
"159,Manu Ginobili\ginobma01,SG,40,SAS,19,387,10.2,.512,.415,.244,1.7,10.1,5.9,17.5,1.7,1.1,18.1,21.1,,-0.2,0.5,0.4,.045,,-2.2,-0.7,-3.0,-0.1"
"160,Rudy Gobert\goberru01,C,25,UTA,12,406,20.2,.661,.000,.600,9.3,27.0,17.8,5.9,0.9,6.7,16.5,16.8,,0.9,0.7,1.6,.193,,-1.0,3.8,2.8,0.5"
"161,Aaron Gordon\gordoaa01,PF,22,ORL,21,694,21.6,.633,.417,.309,4.6,22.4,13.7,10.0,1.5,2.2,9.2,21.7,,1.9,0.6,2.5,.170,,3.6,0.0,3.6,1.0"
"162,Eric Gordon\gordoer01,SG,29,HOU,19,600,14.2,.554,.657,.318,0.8,6.7,3.7,14.0,1.0,0.8,12.7,27.2,,0.6,0.5,1.1,.090,,0.3,-3.0,-2.6,-0.1"
"163,Marcin Gortat\gortama01,C,33,WAS,22,656,15.1,.576,.000,.298,8.8,23.8,16.4,8.6,0.8,2.1,13.4,14.9,,1.0,0.9,1.8,.134,,-0.6,2.0,1.4,0.6"
"164,Treveon Graham\grahatr01,SG,24,CHO,12,210,8.2,.467,.383,.213,4.6,9.1,6.9,11.6,1.9,0.0,8.9,11.7,,0.1,0.2,0.3,.064,,-1.5,0.6,-0.9,0.1"
"165,Jerami Grant\grantje01,PF,23,OKC,21,473,15.4,.595,.273,.430,5.8,14.0,9.7,6.8,1.7,4.0,12.1,15.9,,0.8,0.7,1.5,.150,,-1.1,1.5,0.4,0.3"
"166,Jerian Grant\grantje02,PG,25,CHI,21,542,14.9,.531,.333,.358,2.2,10.4,6.1,31.4,1.7,0.3,13.8,17.7,,0.8,0.3,1.1,.093,,-0.1,-1.9,-2.0,0.0"
"167,Danny Green\greenda02,SG,30,SAS,21,609,11.6,.510,.518,.073,1.8,13.9,7.9,11.1,2.1,2.9,13.8,17.0,,-0.1,1.0,0.9,.072,,-1.4,2.0,0.7,0.4"
"168,Draymond Green\greendr01,PF,27,GSW,22,696,16.2,.581,.465,.341,4.5,19.6,12.7,27.5,2.2,3.2,24.7,16.0,,1.1,1.1,2.2,.153,,1.2,2.7,4.0,1.1"
"169,JaMychal Green\greenja01,PF,27,MEM,9,219,15.8,.642,.277,.231,7.3,16.4,11.8,7.2,0.9,0.0,10.1,16.8,,0.5,0.2,0.7,.147,,1.1,-1.7,-0.6,0.1"
"170,Jeff Green\greenje02,PF,31,CLE,22,457,16.4,.582,.250,.372,4.8,11.8,8.5,11.7,1.6,1.1,11.2,20.7,,0.9,0.3,1.2,.122,,0.5,-1.5,-1.0,0.1"
"171,Blake Griffin\griffbl01,PF,28,LAC,19,680,20.6,.542,.329,.388,4.0,20.8,12.3,24.6,1.3,0.8,12.1,30.1,,1.3,0.5,1.8,.129,,3.0,-1.0,2.1,0.7"
"172,Daniel Hamilton\hamilda02,SG,22,OKC,1,4,-10.4,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,,0.0,0.0,0.0,-0.247,,-14.4,-3.1,-17.5,0.0"
"173,Tim Hardaway\hardati02,SG,25,NYK,21,716,15.7,.534,.479,.237,2.8,10.8,6.9,15.1,1.7,0.7,9.3,23.5,,1.1,0.5,1.6,.107,,2.7,-0.9,1.8,0.7"
"174,James Harden\hardeja01,SG,28,HOU,21,755,30.4,.626,.526,.438,1.9,14.1,8.1,49.9,2.2,1.1,15.5,35.8,,4.0,1.1,5.1,.324,,10.6,0.7,11.3,2.5"
"175,Maurice Harkless\harklma01,SF,24,POR,22,534,8.5,.486,.325,.211,3.8,11.6,7.8,3.8,1.6,3.0,12.6,11.6,,0.0,0.9,0.9,.079,,-3.0,2.8,-0.3,0.2"
"176,Montrezl Harrell\harremo01,C,24,LAC,14,131,23.2,.641,.000,.326,12.5,22.5,17.4,13.0,1.1,4.0,12.5,18.7,,0.4,0.1,0.6,.203,,1.7,0.7,2.4,0.1"
"177,Devin Harris\harride01,PG,34,DAL,16,293,13.7,.536,.393,.339,2.5,11.4,6.7,17.1,2.2,0.3,10.4,22.0,,0.3,0.3,0.6,.092,,0.1,-0.9,-0.8,0.1"
"178,Gary Harris\harriga01,SG,23,DEN,19,623,15.9,.612,.500,.116,2.1,7.3,4.6,11.8,2.8,1.3,12.7,17.8,,1.1,0.5,1.6,.123,,2.5,-0.5,2.0,0.6"
"179,Joe Harris\harrijo01,SG,26,BRK,20,463,13.7,.601,.683,.124,1.7,10.4,6.0,8.8,1.3,1.0,7.1,16.3,,0.8,0.2,1.0,.103,,2.1,-1.3,0.8,0.3"
"180,Tobias Harris\harrito02,PF,25,DET,21,685,19.1,.593,.401,.126,3.5,15.3,9.2,8.3,0.8,0.5,4.0,22.3,,1.9,0.5,2.5,.174,,3.2,-1.7,1.5,0.6"
"181,Andrew Harrison\harrian01,PG,23,MEM,15,229,8.4,.472,.452,.233,2.0,10.1,6.0,13.9,1.1,1.6,13.0,18.6,,-0.1,0.2,0.0,.010,,-3.2,-1.4,-4.6,-0.2"
"182,Josh Hart\hartjo01,SG,22,LAL,16,221,7.7,.497,.386,.273,2.9,13.6,8.3,3.6,2.1,1.1,12.4,10.6,,0.0,0.3,0.3,.062,,-3.9,0.9,-3.1,-0.1"
"183,Udonis Haslem\hasleud01,C,37,MIA,2,9,10.8,1.000,.000,.000,0.0,12.2,6.2,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,.127,,-2.3,-2.6,-4.9,0.0"
"184,Gordon Hayward\haywago01,SF,27,BOS,1,5,7.5,.500,.500,.000,0.0,21.5,10.9,0.0,0.0,0.0,0.0,17.7,,0.0,0.0,0.0,.073,,-5.4,-5.4,-10.9,0.0"
"185,John Henson\hensojo01,C,27,MIL,19,439,15.4,.576,.019,.385,9.7,25.1,17.3,9.5,0.8,6.1,17.1,15.4,,0.5,0.6,1.0,.114,,-2.1,2.3,0.2,0.2"
"186,Juan Hernangomez\hernaju01,PF,22,DEN,10,148,9.4,.499,.658,.184,6.6,13.8,10.2,3.7,1.0,1.2,6.8,12.7,,0.1,0.1,0.2,.069,,-1.0,-2.1,-3.1,0.0"
"187,Willy Hernangomez\hernawi01,C,23,NYK,13,137,13.9,.534,.059,.275,12.9,20.6,16.9,11.6,1.8,4.1,22.9,23.6,,-0.1,0.2,0.1,.027,,-2.7,2.1,-0.6,0.0"
"188,Mario Hezonja\hezonma01,SF,22,ORL,18,178,9.0,.512,.462,.077,5.0,15.1,10.1,8.6,1.9,0.4,18.2,16.0,,-0.1,0.1,0.0,.003,,-2.6,-1.0,-3.6,-0.1"
"189,Buddy Hield\hieldbu01,SG,24,SAC,20,436,16.1,.542,.391,.104,3.5,16.1,9.4,11.6,2.5,0.7,11.3,24.6,,0.2,0.3,0.5,.055,,0.7,-1.8,-1.1,0.1"
"190,Nene Hilario\hilarne01,C,35,HOU,15,215,20.4,.697,.030,.597,5.8,18.6,12.3,13.1,2.0,2.4,17.5,20.6,,0.6,0.4,1.0,.223,,0.2,1.7,1.9,0.2"
"191,George Hill\hillge01,PG,31,SAC,20,519,12.3,.550,.327,.220,1.9,11.9,6.6,14.6,1.7,0.7,12.7,16.3,,0.4,0.2,0.6,.054,,-0.5,-1.3,-1.8,0.0"
"192,Darrun Hilliard\hillida01,SG,24,SAS,3,26,-7.9,.200,.400,.000,0.0,8.6,4.3,5.1,1.9,0.0,37.5,13.8,,-0.1,0.0,-0.1,-0.206,,-11.9,0.2,-11.6,-0.1"
"193,Jrue Holiday\holidjr01,PG,27,NOP,22,799,13.4,.528,.333,.167,2.1,10.8,6.6,22.4,1.6,0.9,15.3,20.7,,0.5,0.5,1.0,.059,,-0.7,-0.6,-1.3,0.1"
"194,Justin Holiday\holidju01,SG,28,CHI,20,689,11.8,.497,.562,.179,1.6,11.8,6.4,10.3,1.8,1.5,8.1,20.5,,-0.1,0.5,0.4,.028,,-0.7,-0.9,-1.6,0.1"
"195,John Holland\hollajo02,SF,29,CLE,4,17,-1.1,.375,.500,.000,0.0,12.7,6.6,0.0,0.0,0.0,20.0,12.9,,0.0,0.0,0.0,-0.132,,-8.9,-4.9,-13.7,-0.1"
"196,Rondae Hollis-Jefferson\holliro01,SF,23,BRK,18,488,18.4,.583,.067,.511,4.8,16.5,10.5,10.5,1.6,2.1,10.9,21.0,,1.0,0.4,1.4,.135,,-0.3,0.6,0.2,0.3"
"197,Richaun Holmes\holmeri01,C,24,PHI,9,109,14.9,.593,.161,.323,8.8,21.4,15.2,9.4,0.4,2.3,7.8,14.6,,0.3,0.1,0.4,.166,,-0.5,0.2,-0.3,0.0"
"198,Rodney Hood\hoodro01,SG,25,UTA,18,509,15.6,.556,.479,.189,1.1,9.8,5.3,11.2,1.3,0.7,10.9,28.6,,0.3,0.5,0.8,.073,,0.7,-2.9,-2.2,0.0"
"199,Al Horford\horfoal01,C,31,BOS,21,682,19.4,.641,.325,.206,4.1,23.0,13.7,24.7,1.0,2.6,18.0,18.0,,1.5,1.3,2.9,.202,,2.1,3.6,5.7,1.3"
"200,Dwight Howard\howardw01,C,32,CHO,21,611,17.8,.570,.005,.816,13.7,32.2,23.0,7.0,0.9,3.3,21.9,25.6,,0.0,0.9,0.9,.072,,-3.5,1.4,-2.1,0.0"
"201,Josh Huestis\huestjo01,PF,26,OKC,17,194,3.6,.393,.750,.091,3.4,12.8,7.9,4.3,1.5,4.4,16.4,12.2,,-0.3,0.3,0.0,.001,,-5.6,1.4,-4.2,-0.1"
"202,Vince Hunter\huntevi01,F,23,MEM,1,3,28.8,1.000,.000,.000,38.3,38.5,38.4,0.0,0.0,0.0,50.0,30.8,,0.0,0.0,0.0,.008,,-4.4,-10.6,-14.9,0.0"
"203,Serge Ibaka\ibakase01,PF,28,TOR,19,511,13.6,.573,.438,.151,3.5,20.3,12.2,2.9,0.6,4.0,10.4,19.0,,0.4,0.6,1.0,.094,,-0.9,-0.1,-0.9,0.1"
"204,Andre Iguodala\iguodan01,SF,34,GSW,20,519,11.6,.562,.378,.327,4.7,10.2,7.7,13.3,1.0,1.8,11.1,10.4,,0.9,0.4,1.3,.119,,0.7,0.1,0.8,0.4"
"205,Ersan Ilyasova\ilyaser01,PF,30,ATL,10,205,10.4,.459,.500,.125,4.4,20.7,12.5,4.9,2.9,0.9,4.3,15.1,,0.0,0.2,0.2,.053,,-2.2,-0.1,-2.2,0.0"
"206,Joe Ingles\inglejo01,SF,30,UTA,23,684,14.1,.619,.674,.064,0.8,15.2,7.7,20.9,2.0,0.5,16.9,15.3,,1.0,0.8,1.8,.129,,1.8,0.5,2.4,0.8"
"207,Brandon Ingram\ingrabr01,SF,20,LAL,21,709,12.6,.526,.124,.398,2.7,13.7,8.3,12.9,1.2,2.0,14.0,21.3,,0.1,0.9,1.0,.065,,-2.7,0.6,-2.1,0.0"
"208,Kyrie Irving\irvinky01,PG,25,BOS,22,697,25.2,.590,.332,.272,1.8,9.4,5.7,32.4,2.4,0.7,9.9,30.7,,2.3,1.2,3.6,.245,,6.6,0.2,6.8,1.6"
"209,Jonathan Isaac\isaacjo01,PF,20,ORL,12,239,12.3,.543,.279,.230,5.1,18.9,12.1,5.8,1.6,4.8,15.2,14.3,,0.1,0.2,0.3,.062,,-2.7,2.0,-0.7,0.1"
"210,Wesley Iwundu\iwundwe01,SF,23,ORL,6,28,2.9,.365,.000,.273,4.0,15.3,9.7,15.3,1.7,0.0,19.6,23.7,,-0.1,0.0,-0.1,-0.167,,-9.5,-1.8,-11.3,-0.1"
"211,Jarrett Jack\jackja01,PG,34,NYK,19,501,9.9,.459,.209,.052,1.2,12.1,6.9,30.6,1.0,0.2,21.4,13.0,,0.2,0.3,0.5,.045,,-2.0,-0.8,-2.8,-0.1"
"212,Demetrius Jackson\jacksde01,PG,23,HOU,11,61,-0.7,.286,.429,.000,7.4,12.8,10.1,11.0,3.2,1.4,41.7,17.0,,-0.3,0.1,-0.2,-0.154,,-9.9,2.9,-7.0,-0.1"
"213,Josh Jackson\jacksjo02,SF,20,PHO,23,495,8.0,.442,.277,.300,3.9,14.4,9.0,7.7,2.8,0.8,15.7,23.7,,-1.1,0.4,-0.7,-0.067,,-4.9,-1.2,-6.0,-0.5"
"214,Justin Jackson\jacksju01,SF,22,SAC,17,310,6.8,.485,.434,.094,2.5,8.2,5.2,3.5,0.5,0.6,10.5,17.9,,-0.2,0.0,-0.3,-0.043,,-3.3,-3.9,-7.3,-0.4"
"215,Reggie Jackson\jacksre01,PG,27,DET,21,579,19.4,.576,.318,.259,2.7,8.8,5.6,33.5,1.5,0.1,15.2,25.4,,1.5,0.4,1.9,.157,,3.1,-1.9,1.2,0.5"
"216,LeBron James\jamesle01,PF,33,CLE,22,814,31.2,.663,.257,.291,4.0,20.2,12.4,43.0,1.7,2.8,16.1,30.0,,3.9,0.8,4.7,.277,,9.1,1.8,11.0,2.7"
"217,Mike James\jamesmi02,PG,27,PHO,23,522,14.0,.472,.319,.277,1.7,12.2,6.9,28.1,1.8,0.9,12.7,24.1,,0.1,0.2,0.3,.026,,-0.5,-2.0,-2.5,-0.1"
"218,Al Jefferson\jeffeal01,C,33,IND,10,139,21.6,.578,.018,.211,8.9,28.6,18.9,12.3,1.7,4.2,11.4,22.1,,0.3,0.2,0.5,.169,,-0.5,1.7,1.2,0.1"
"219,Richard Jefferson\jefferi01,SF,37,DEN,6,40,7.2,.461,.375,.500,0.0,5.7,2.8,13.4,0.0,0.0,0.0,10.4,,0.0,0.0,0.0,.049,,-2.9,-4.5,-7.4,-0.1"
"220,Jonas Jerebko\jerebjo01,PF,30,UTA,18,292,16.5,.656,.488,.119,6.8,20.0,13.2,8.7,0.9,0.9,6.4,14.6,,0.8,0.3,1.2,.192,,2.4,-0.5,1.9,0.3"
"221,Amir Johnson\johnsam01,C,30,PHI,19,292,14.9,.509,.137,.329,14.5,24.3,19.5,9.6,2.1,4.3,16.1,14.1,,0.3,0.5,0.8,.130,,-1.4,3.8,2.4,0.3"
"222,Brice Johnson\johnsbr02,PF,23,LAC,6,23,20.4,.761,.000,.286,4.8,34.5,19.4,7.5,2.1,3.8,20.2,18.7,,0.1,0.0,0.1,.206,,-1.1,1.0,-0.1,0.0"
"223,Dakari Johnson\johnsda04,C,22,OKC,11,76,14.9,.514,.000,.571,11.5,7.8,9.7,10.0,2.0,5.0,7.1,16.1,,0.1,0.1,0.3,.160,,-1.6,1.7,0.1,0.0"
"224,James Johnson\johnsja01,PF,30,MIA,21,578,16.1,.590,.322,.328,3.7,17.1,10.4,25.2,1.9,2.1,21.1,19.9,,0.6,0.8,1.4,.118,,0.1,2.3,2.4,0.6"
"225,Joe Johnson\johnsjo02,SF,36,UTA,7,134,8.2,.448,.370,.152,3.3,13.3,8.1,12.7,1.5,1.3,16.9,19.9,,-0.2,0.1,-0.1,-0.018,,-4.5,-0.3,-4.9,-0.1"
"226,Stanley Johnson\johnsst04,SF,21,DET,18,527,7.2,.483,.500,.134,1.0,11.4,6.0,5.9,2.2,0.8,12.4,13.5,,-0.2,0.6,0.4,.032,,-2.4,1.2,-1.2,0.1"
"227,Tyler Johnson\johnsty01,PG,25,MIA,21,569,9.8,.490,.489,.210,1.8,11.0,6.4,11.6,1.1,2.4,11.3,18.0,,-0.1,0.6,0.5,.044,,-2.3,0.7,-1.7,0.0"
"228,Wesley Johnson\johnswe01,SF,30,LAC,20,503,12.1,.586,.496,.171,2.2,14.2,8.1,5.9,2.1,3.4,12.6,13.1,,0.4,0.5,0.9,.087,,-0.2,1.3,1.0,0.4"
"229,Nikola Jokic\jokicni01,C,22,DEN,21,618,24.8,.609,.286,.245,9.7,30.9,20.1,24.9,2.3,1.8,14.7,21.7,,2.0,0.9,2.9,.226,,4.6,2.5,7.1,1.4"
"230,Derrick Jones\jonesde02,SF,20,PHO,6,33,18.4,.678,.500,1.500,6.1,6.3,6.2,12.0,1.4,9.3,13.1,9.5,,0.1,0.0,0.1,.175,,0.7,3.1,3.7,0.0"
"231,Jalen Jones\jonesja04,SF,24,NOP,3,10,14.5,.644,.333,.667,0.0,21.5,11.0,0.0,0.0,0.0,0.0,16.9,,0.0,0.0,0.0,.183,,-2.9,-7.0,-9.9,0.0"
"232,Tyus Jones\jonesty01,PG,21,MIN,23,412,12.8,.524,.392,.253,1.7,10.8,6.2,22.5,3.0,0.4,14.6,10.9,,0.5,0.3,0.9,.099,,0.3,-0.2,0.1,0.2"
"233,DeAndre Jordan\jordade01,C,29,LAC,20,646,17.9,.663,.000,.421,15.8,32.1,23.8,4.4,0.8,2.8,20.3,12.6,,1.4,0.7,2.1,.154,,0.1,0.6,0.7,0.4"
"234,Cory Joseph\josepco01,PG,26,IND,23,561,11.7,.524,.365,.173,1.0,10.8,6.0,16.3,2.2,0.9,13.4,15.1,,0.4,0.4,0.8,.069,,-0.6,-0.1,-0.6,0.2"
"235,Frank Kaminsky\kaminfr01,PF,24,CHO,20,484,12.8,.529,.378,.229,2.2,14.7,8.5,10.1,0.6,0.7,8.4,20.3,,0.4,0.3,0.7,.072,,-0.8,-1.1,-1.9,0.0"
"236,Enes Kanter\kanteen01,C,25,NYK,18,470,25.4,.680,.006,.244,17.3,27.2,22.5,8.5,1.3,1.8,14.3,20.1,,1.7,0.6,2.4,.241,,4.2,0.9,5.1,0.8"
"237,Luke Kennard\kennalu01,SG,21,DET,16,261,10.7,.538,.433,.122,0.8,11.3,5.9,10.6,2.1,0.3,15.2,18.8,,0.0,0.3,0.3,.047,,-2.0,-0.6,-2.6,0.0"
