"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"28,Harrison Barnes\barneha02,PF,25,DAL,22,779,15.6,.538,.251,.331,3.5,20.3,11.5,9.7,1.0,0.4,10.3,24.6,,0.5,0.6,1.1,.071,,-1.2,-0.8,-2.0,0.0"
"29,Will Barton\bartowi01,SG,27,DEN,21,622,17.8,.591,.415,.260,3.2,15.9,9.4,15.2,1.7,1.1,12.2,21.5,,1.2,0.5,1.7,.135,,2.3,-1.0,1.3,0.5"
"30,Nicolas Batum\batumni01,SG,29,CHO,8,219,11.2,.475,.444,.210,2.0,11.6,6.8,22.0,1.3,0.8,14.5,20.5,,0.0,0.2,0.1,.029,,-1.4,-0.6,-2.0,0.0"
"31,Jerryd Bayless\bayleje01,SG,29,PHI,15,421,9.2,.585,.531,.239,1.0,7.5,4.3,9.9,1.1,0.6,15.0,14.4,,0.3,0.3,0.6,.070,,-0.7,-0.8,-1.5,0.0"
"32,Aron Baynes\baynear01,C,31,BOS,23,414,13.4,.514,.027,.318,12.4,20.2,16.4,7.5,1.1,3.1,15.5,15.9,,0.3,0.8,1.1,.130,,-2.8,2.9,0.0,0.2"
"33,Kent Bazemore\bazemke01,SG,28,ATL,21,597,13.9,.512,.360,.338,1.7,15.9,8.8,19.0,3.1,1.5,16.7,22.5,,-0.1,0.6,0.5,.037,,-1.4,0.9,-0.5,0.2"
"34,Bradley Beal\bealbr01,SG,24,WAS,22,762,19.6,.570,.337,.321,2.8,11.1,7.0,16.8,1.7,1.3,12.4,28.7,,1.2,0.8,2.0,.129,,2.7,-0.6,2.0,0.8"
"35,Malik Beasley\beaslma01,SG,21,DEN,19,159,9.5,.511,.449,.224,4.1,15.7,9.8,9.1,0.9,0.0,12.9,16.6,,0.0,0.1,0.1,.038,,-2.3,-2.8,-5.1,-0.1"
"36,Michael Beasley\beaslmi01,PF,29,NYK,15,216,12.5,.526,.098,.217,8.2,19.1,13.9,10.5,0.2,2.6,19.9,25.4,,-0.2,0.2,0.0,-0.005,,-3.9,-0.7,-4.6,-0.1"
"37,Marco Belinelli\belinma01,SG,31,ATL,21,545,16.0,.569,.524,.200,1.0,8.8,4.9,15.4,2.3,0.2,8.8,20.2,,0.9,0.2,1.1,.098,,2.0,-2.1,0.0,0.3"
"38,Jordan Bell\belljo01,C,23,GSW,17,168,24.0,.741,.000,.043,13.0,19.4,16.5,13.4,2.8,8.0,18.7,15.1,,0.5,0.4,0.9,.252,,3.0,5.2,8.2,0.4"
"39,DeAndre' Bembry\bembrde01,SF,23,ATL,7,98,3.9,.392,.214,.214,1.1,17.6,9.3,13.0,2.5,3.7,28.1,19.1,,-0.4,0.1,-0.3,-0.133,,-9.1,2.0,-7.1,-0.1"
"40,Dragan Bender\bendedr01,PF,20,PHO,23,491,7.3,.525,.649,.140,2.1,16.0,8.9,6.4,0.8,2.0,17.7,12.3,,-0.1,0.2,0.1,.007,,-2.5,-0.5,-3.1,-0.1"
"41,Davis Bertans\bertada01,PF,25,SAS,18,111,11.6,.600,.853,.235,0.0,14.1,7.0,9.4,1.4,1.5,13.8,17.6,,0.1,0.2,0.3,.111,,0.1,-1.3,-1.3,0.0"
"42,Patrick Beverley\beverpa01,SG,29,LAC,11,334,13.2,.530,.504,.143,5.2,9.8,7.5,14.7,2.8,1.3,16.5,19.7,,0.2,0.3,0.4,.062,,0.9,-0.2,0.8,0.2"
"43,Khem Birch\birchkh01,C,25,ORL,3,10,10.6,.400,.000,.000,22.2,0.0,10.9,15.6,0.0,0.0,0.0,21.6,,0.0,0.0,0.0,.046,,0.6,-4.6,-3.9,0.0"
"44,Jabari Bird\birdja01,SG,23,BOS,2,16,3.2,.469,1.000,5.000,0.0,6.7,3.4,0.0,0.0,0.0,0.0,8.9,,0.0,0.0,0.0,.065,,-3.7,-2.5,-6.2,0.0"
"45,Bismack Biyombo\biyombi01,C,25,ORL,23,362,10.7,.524,.013,.571,10.1,21.6,16.0,2.6,0.4,6.4,21.2,14.6,,-0.1,0.3,0.2,.032,,-5.2,1.3,-4.0,-0.2"
"46,Nemanja Bjelica\bjeline01,PF,29,MIN,18,275,18.1,.725,.494,.145,3.3,18.3,10.7,7.3,1.8,1.3,12.8,16.1,,0.7,0.2,0.9,.164,,3.2,-1.1,2.1,0.3"
"47,Tarik Black\blackta01,C,26,HOU,16,148,15.8,.585,.150,.400,13.0,24.8,18.9,6.1,2.0,5.1,17.5,16.7,,0.2,0.3,0.5,.172,,-2.3,3.0,0.7,0.1"
"48,Antonio Blakeney\blakean01,SG,21,CHI,11,163,8.4,.457,.364,.247,1.9,11.7,6.5,7.4,0.6,0.0,8.6,25.2,,-0.2,0.0,-0.2,-0.058,,-4.8,-4.7,-9.6,-0.3"
"49,Eric Bledsoe\bledser01,PG,28,TOT,13,385,18.1,.521,.309,.348,3.2,10.9,7.1,25.0,3.2,2.3,15.6,28.3,,0.1,0.4,0.5,.064,,0.3,-0.5,-0.2,0.2"
"49,Eric Bledsoe\bledser01,PG,28,PHO,3,83,13.5,.509,.325,.350,3.7,5.0,4.3,17.3,2.2,1.9,17.8,27.8,,-0.1,0.0,0.0,-0.013,,-1.9,-2.8,-4.7,0.0"
"49,Eric Bledsoe\bledser01,PG,28,MIL,10,302,19.4,.525,.304,.348,3.1,12.5,7.8,27.1,3.5,2.4,15.0,28.5,,0.1,0.4,0.5,.086,,0.9,0.2,1.1,0.2"
"50,Vander Blue\blueva01,SG,25,LAL,4,28,-3.1,.333,.000,.000,0.0,3.7,1.9,4.4,0.0,0.0,40.0,7.4,,-0.1,0.0,-0.1,-0.093,,-9.2,-1.1,-10.3,-0.1"
"51,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,19,451,12.8,.541,.356,.181,1.4,9.4,5.2,13.6,2.1,1.5,14.8,20.2,,0.0,0.2,0.2,.026,,-1.0,-1.5,-2.5,-0.1"
"52,Bojan Bogdanovic\bogdabo02,SF,28,IND,23,716,14.3,.628,.454,.187,0.9,10.5,5.8,5.5,0.9,0.1,8.7,18.1,,1.3,0.2,1.5,.104,,2.0,-2.5,-0.5,0.3"
"53,Andrew Bogut\bogutan01,C,33,LAL,14,112,11.0,.615,.000,.000,9.4,30.5,20.1,10.4,0.8,7.1,43.5,8.5,,0.0,0.2,0.2,.089,,-5.6,5.5,-0.1,0.1"
"54,Joel Bolomboy\bolomjo01,PF,24,MIL,5,31,8.1,.377,.250,1.500,19.0,11.4,15.2,0.0,3.2,0.0,23.1,12.8,,0.0,0.0,0.0,.014,,-4.9,-3.8,-8.7,-0.1"
"55,Devin Booker\bookede01,SG,21,PHO,22,734,18.0,.568,.358,.292,1.4,12.4,6.8,20.7,1.2,0.6,13.9,28.9,,1.0,0.2,1.2,.081,,2.7,-2.9,-0.2,0.3"
"56,Trevor Booker\booketr01,PF,30,BRK,16,360,16.8,.555,.088,.299,10.4,21.8,15.9,13.9,1.0,1.1,14.8,20.9,,0.4,0.3,0.7,.092,,-0.5,0.2,-0.3,0.2"
"57,Avery Bradley\bradlav01,SG,27,DET,21,667,13.6,.547,.332,.183,2.3,7.4,4.8,9.9,2.5,0.5,14.7,24.6,,0.1,0.7,0.8,.055,,-0.7,-0.6,-1.3,0.1"
"58,Tony Bradley\bradlto01,C,20,UTA,7,21,2.2,.202,.111,.222,15.9,28.4,21.9,6.5,0.0,0.0,0.0,21.3,,-0.1,0.0,-0.1,-0.130,,-10.5,-3.6,-14.1,-0.1"
"59,Corey Brewer\breweco01,SF,31,LAL,21,263,8.9,.517,.302,.340,2.0,9.9,6.0,8.6,3.2,1.2,16.5,11.5,,0.0,0.4,0.4,.073,,-3.3,1.9,-1.4,0.0"
"60,Malcolm Brogdon\brogdma01,PG,25,MIL,19,575,14.5,.581,.363,.149,0.4,10.5,5.4,18.6,1.7,0.6,12.6,19.6,,0.7,0.4,1.1,.090,,0.8,-2.3,-1.5,0.1"
"61,Aaron Brooks\brookaa01,PG,33,MIN,11,53,16.4,.594,.476,.095,4.3,8.8,6.6,20.7,0.9,0.0,8.4,19.7,,0.1,0.0,0.2,.141,,3.5,-4.3,-0.7,0.0"
"62,Dillon Brooks\brookdi01,SF,22,MEM,21,616,8.0,.528,.338,.192,3.0,10.9,6.9,7.0,1.8,1.8,17.2,14.8,,-0.2,0.6,0.4,.028,,-2.7,1.0,-1.7,0.0"
"63,Bobby Brown\brownbo02,PG,33,HOU,15,100,2.7,.389,.688,.042,0.0,7.8,3.9,13.4,1.4,0.0,14.1,24.6,,-0.3,0.1,-0.2,-0.102,,-6.5,-3.5,-10.1,-0.2"
