,fg%,fga,3p%,3pa,2p%,2pa,ft%,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,efg%,age,season
mean,0.45061607142857135,47.96785714285715,0.2746517857142857,8.00357142857143,0.46796428571428583,39.9392857142857,0.7543303571428571,15.250000000000002,6.257142857142858,17.10357142857143,23.389285714285712,13.592857142857143,4.392857142857144,2.9428571428571426,8.189285714285717,10.62142857142857,57.61071428571428,0.4798660714285714,27.625,2000
sd,0.019643640256154858,5.115123080335811,0.07228932087335571,3.2309248925618284,0.02021238095612053,4.94528127393244,0.044978289699722576,2.9596671484526142,1.3948127636004217,2.165979744588636,3.199576278163776,2.7553219307004655,0.9261343680724023,1.0232224230264535,0.8066112403888834,0.9600760551883539,6.343170096907922,0.023369563354973418,2.8255612356302415,2000
mean,0.4558035714285714,49.732142857142854,0.2995446428571428,8.875000000000002,0.47238392857142875,40.84285714285714,0.7644107142857142,14.824999999999994,6.421428571428573,17.139285714285712,23.560714285714287,13.592857142857143,4.3392857142857135,2.871428571428571,7.978571428571428,10.242857142857144,59.51428571428569,0.48595535714285715,27.705357142857142,2001
sd,0.021009847464372292,5.174370856115142,0.07187230217568054,3.4427191019330663,0.022088362335433015,4.252792422190788,0.032033851762317926,2.780837204072822,1.350269422458908,2.005979817060737,2.806518772259972,2.357796927049984,0.883318358663128,1.0452209204215024,0.939801847852787,1.0045926284849742,6.9669438693236865,0.021761018236345006,2.1816294999683783,2001
mean,0.45284821428571415,46.77857142857143,0.29018154761904763,7.97857142857143,0.4700178571428571,38.800000000000004,0.7631875,15.27142857142857,6.167857142857142,16.985714285714288,23.132142857142856,12.764285714285714,4.260714285714285,2.7749999999999995,8.032142857142857,10.625,56.782142857142844,0.4812946428571429,27.241071428571427,2002
sd,0.016564036691215596,6.716500253954858,0.07438299375574775,3.4206732218973053,0.018435815657078993,5.538016759601728,0.050537739153069604,2.8455107128477333,1.2981621114964295,2.3826089475248335,3.164274367865763,2.3463469298771478,0.7761916934453403,1.0637547057823407,1.3529264772743763,0.9609505325072282,8.862449020756205,0.020600257726209235,2.8353605026335154,2002
mean,0.4494910714285713,48.2,0.28313392857142855,9.428571428571429,0.46841071428571424,38.78571428571429,0.7612053571428572,15.460714285714289,6.485714285714286,17.425,23.914285714285718,12.953571428571426,4.2749999999999995,3.0964285714285715,8.342857142857143,10.232142857142858,58.039285714285704,0.48128571428571426,26.857142857142858,2003
sd,0.013239160860530593,4.533333333333332,0.08826529623928478,3.541171300557794,0.016408587166609836,4.472609171862976,0.047714818994936736,2.705048679744666,1.3354744712992694,1.981511768546654,2.854329302515,2.8717631882736803,0.7520958370767306,0.9697201363574661,1.0325906189015015,1.013265191944512,5.520020080862178,0.019026141164698834,2.0754613180061154,2003
mean,0.46169642857142856,45.42758620689656,0.2816696428571429,8.327586206896553,0.4797232142857143,37.093103448275855,0.762892857142857,15.531034482758617,6.110344827586209,16.179310344827584,22.3,12.117241379310341,3.827586206896551,2.6655172413793107,7.551724137931035,10.510344827586207,56.45862068965517,0.49207142857142866,26.821428571428573,2004
sd,0.018575590956012116,10.925654493364432,0.0797686614070092,3.7427927456574204,0.018391239269780243,9.439352695515982,0.0463285583356564,4.777783664919172,1.8073944995067597,3.96731101002257,5.454290578460751,3.414786017717366,1.0491140996520205,1.095535049341177,1.8567676771466461,2.184743336933623,14.037234089616781,0.017442081024814406,1.6912864143750859,2004
mean,0.46737962962962953,45.02142857142858,0.30078086419753086,8.264285714285714,0.4846944444444444,36.74285714285714,0.7415462962962962,16.224999999999998,5.960714285714286,16.66428571428571,22.59642857142857,11.660714285714286,3.6928571428571426,2.778571428571428,7.460714285714284,10.539285714285715,57.22857142857142,0.49901851851851853,26.40740740740741,2005
sd,0.015494628469118307,11.013404531073911,0.08908057534572444,3.734148153710888,0.014711706048986804,9.187085483576372,0.04104096435253141,4.189548282907695,1.622147475990526,3.930244953794279,5.21688726142445,3.521504233064624,0.9664477037176735,1.0584255052976332,1.8328967734192187,2.3730491848805904,14.187627816826287,0.01704701162705961,1.868447715644424,2005
mean,0.47278703703703706,45.87142857142857,0.2775462962962963,8.382142857142858,0.4928611111111111,37.496428571428574,0.7517499999999999,16.049999999999997,5.767857142857144,16.775,22.52857142857143,12.717857142857143,3.832142857142857,2.6821428571428565,8.25,10.203571428571433,58.289285714285704,0.5034351851851852,26.50925925925926,2006
sd,0.021414263724984582,11.200392094421654,0.08444648628323173,4.191353849288687,0.018986120098910594,8.845441686221136,0.04049234258094125,4.315905123729788,1.528750051374233,3.595637789198338,4.898666269193199,3.6117148457462873,1.1486073923664872,1.1712777358045932,1.9758729903700982,2.236479068611782,14.17421600903907,0.01794671501339675,2.039845254172154,2006
mean,0.4701339285714286,45.36896551724138,0.27666071428571426,8.951724137931034,0.4897410714285715,36.42413793103448,0.7548125000000001,15.193103448275862,5.862068965517241,16.858620689655176,22.7448275862069,12.734482758620686,3.834482758620689,2.5689655172413794,7.4206896551724135,9.50689655172414,57.23103448275861,0.5052589285714285,26.883928571428573,2007
sd,0.026758996595715696,10.012424547540773,0.06325531227618866,3.651087967956085,0.02735106827614893,8.70027319654856,0.032668199014513365,4.349132182276857,1.5555003313365694,3.9986173718798734,5.291069714075957,3.645474284454725,1.0824165629569544,1.0347889530430354,2.0018525902532005,2.206149042122747,12.996925555362145,0.030457505471562583,2.362400441618831,2007
