,fg%,fga,3p%,3pa,2p%,2pa,ft%,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,efg%,age,per,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,season
mean,0.4597685185185186,50.50714285714286,0.3122407407407407,10.067857142857147,0.48013888888888895,40.42142857142857,0.7656018518518519,18.078571428571426,5.250000000000001,16.428571428571434,21.657142857142855,13.771428571428569,4.135714285714284,2.3214285714285716,8.289285714285713,10.185714285714287,63.89642857142856,0.49633333333333324,26.40740740740741,17.487037037037037,0.1999629629629629,0.3583518518518518,4.683333333333334,14.349074074074077,9.532407407407405,17.91388888888889,1.6092592592592596,1.3268518518518517,12.741666666666665,22.587962962962962,3.958333333333334,2.4518518518518526,6.413888888888887,0.12287037037037037,1.4574074074074075,0.021296296296296303,1.4805555555555554,2.2703703703703706,2005
sd,0.02228173254962696,11.39580587472389,0.06371552332913394,4.355758518918636,0.02185357008914163,9.335331418777413,0.044621229600428206,4.508950534285658,1.7041344061059487,4.0109901929626215,5.4716392405599965,3.420943896479032,1.0125926700030548,1.204423065469489,1.904641365233552,2.3179995023989313,14.54284811228293,0.01798169475199283,1.8684477156444237,1.636782290900738,0.06825079964675618,0.05127116163760594,1.2390093747705182,1.7823450612546718,1.429241575620259,2.557448899156124,0.19905403066129332,0.6299391731138506,1.4611968224185796,1.435309708778548,1.558938248147906,1.189212852258673,2.09447915929425,0.03338091422464242,0.9676203665638573,1.1031794893647116,1.3631011964615363,0.9427108271912994,2005
mean,0.46246296296296296,50.20357142857143,0.31752160493827153,10.5,0.48722222222222233,39.73571428571429,0.7754722222222225,17.642857142857142,5.135714285714285,16.428571428571423,21.553571428571427,14.189285714285713,4.192857142857142,2.2428571428571424,8.739285714285714,9.767857142857144,63.97500000000001,0.5005833333333334,26.63888888888889,17.450000000000003,0.21125925925925926,0.3428333333333334,4.567592592592592,14.557407407407412,9.562962962962963,18.249999999999996,1.6259259259259256,1.2944444444444445,13.193518518518518,22.521296296296303,3.662037037037037,2.4351851851851865,6.098148148148148,0.12196296296296297,1.439814814814815,0.12222222222222223,1.5601851851851851,2.2037037037037037,2006
sd,0.014741800801909882,11.132051893747144,0.06492517715433423,4.187547678003865,0.014584029287422952,9.04237818135269,0.03874598821251179,4.295081473933279,1.4867848198475462,3.777796451867945,5.101813921636626,4.308934669894403,1.238556080289126,1.1110317431970764,2.119108702526063,2.178523722263682,13.915289353002251,0.01465877920197681,1.6818221193175105,1.261314180344636,0.06703875463123643,0.043945551975843225,1.0668027090062246,1.8863351578219945,1.3887316150269997,3.382008392838606,0.3021940189203371,0.5750139351711623,1.3245752692371404,1.2392558193347272,1.1273558745162362,1.1796809228651957,1.8164568999884558,0.029182507908099124,0.8405944342243784,1.0513803503136443,1.1877835543901811,0.8469885484111348,2006
mean,0.4654821428571428,49.56206896551723,0.29263690476190474,10.13103448275862,0.48601785714285717,39.44827586206897,0.777294642857143,16.3,5.655172413793102,17.575862068965513,23.255172413793098,14.562068965517241,4.158620689655172,2.641379310344827,8.19655172413793,9.444827586206895,62.482758620689665,0.5036339285714285,26.714285714285715,17.35892857142857,0.2060178571428571,0.3204375,4.909821428571429,15.318749999999998,10.103571428571431,18.375892857142862,1.6205357142857149,1.526785714285714,12.77767857142857,21.968749999999996,3.7205357142857145,2.5205357142857148,6.241071428571429,0.12291964285714287,1.2321428571428572,0.2973214285714286,1.524107142857143,2.2321428571428568,2007
sd,0.02925003391668092,10.335286774413161,0.05421632203727817,3.794742928266105,0.02862035410878366,8.42732039642729,0.03254384887913114,4.526509219507425,1.6437296890426947,4.466754588258027,5.821731836520356,3.9259588267529764,1.172761466849964,1.2210993996568682,2.044589158629725,2.08970028727576,13.55341467162736,0.02704304543162495,2.119916889655729,1.823917922303958,0.06923095835851253,0.05391366662613547,1.020265472118842,1.874520000288469,1.3600741109592476,3.163291199102204,0.29027872711928004,0.5909396382750578,1.428485653840287,1.195431601122776,1.6199573264188134,1.1297749196400224,2.474136720803342,0.04351330434962715,1.1767197254101385,0.9705701666611737,1.7258717891372126,1.104260627927816,2007
mean,0.45843750000000005,50.72068965517241,0.33796130952380954,11.241379310344827,0.47883928571428575,39.45862068965518,0.7963839285714285,16.496551724137934,5.079310344827587,16.372413793103444,21.44827586206896,14.317241379310346,4.179310344827586,2.055172413793104,7.979310344827584,9.03103448275862,63.75172413793104,0.5011964285714285,27.044642857142858,17.076785714285716,0.22907142857142856,0.3210625,4.4624999999999995,14.37232142857143,9.41160714285714,17.95803571428571,1.632142857142857,1.1955357142857144,12.325892857142858,22.324107142857148,3.475892857142857,2.306250000000001,5.783035714285712,0.1169107142857143,1.2223214285714288,-0.1276785714285714,1.091964285714286,1.9901785714285716,2008
sd,0.026289135289302684,10.426593037254884,0.05273497036945905,3.889226625415697,0.028394396151428053,8.237176928040478,0.02875579507962482,4.126956917513773,1.4840531638399779,3.837493280750203,5.043427171623278,3.5715211810652936,1.0893573827670893,0.8051557998728975,1.8691822716182656,2.1081649854580475,12.835960109052312,0.025814810307591488,2.414322207075253,1.482067633712939,0.05817366469933165,0.05704630287140698,0.9556484128009048,1.8337668589155882,1.2568236370954777,2.6506205909552136,0.2622778727603275,0.406090984344811,1.261162789130662,1.0271427950526508,1.5186720890373815,1.2114543028021227,2.544120432773383,0.04137750855580498,0.8125559606288291,1.2206430319203325,1.7343620554595827,1.1728277652456978,2008
mean,0.46608035714285706,49.655172413793096,0.2981101190476191,9.951724137931034,0.49011607142857144,39.720689655172414,0.7693035714285713,15.944827586206898,5.3999999999999995,17.113793103448273,22.513793103448275,13.275862068965516,4.1448275862068975,2.3379310344827586,7.8275862068965525,9.46551724137931,62.06551724137932,0.5024285714285714,27.008928571428573,16.91785714285714,0.20306249999999998,0.31753571428571437,4.805357142857143,15.189285714285717,9.990178571428572,16.650892857142857,1.6294642857142854,1.375,12.269642857142857,22.058928571428577,3.316964285714286,2.414285714285714,5.728571428571429,0.11602678571428572,0.9812500000000001,0.13660714285714287,1.1178571428571427,1.9598214285714286,2009
sd,0.02124450403562241,10.525736696541772,0.061420613779940736,4.162813324943256,0.020410654686595666,8.82906641684745,0.031398525350402925,4.011464482036503,2.028722328391514,4.242701644162516,5.924086676920336,3.629310754361514,1.177038112896869,0.8248003191697145,1.7872358049961112,2.0810841717838473,13.231328511800776,0.020010744468407324,2.363380095581427,1.5869236653275791,0.07687952410656461,0.049859604478276386,1.5275761050153136,2.2220113987296854,1.7786587134082432,2.720468387494054,0.268918751621275,0.4212525414804091,0.9306349172507711,1.2112553612944514,1.4791616364770273,1.0404421373963288,2.2124512370198075,0.03782166604763793,0.9061677804337871,0.9120713641379292,1.5473522358528913,1.007709616226282,2009
