season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2009,denver_nuggets,53.0,29.0,0.6463414634146342,45.5,97.69999999999999,7.4,21.3,38.00000000000001,76.2,27.5,35.900000000000006,13.3,38.30000000000001,51.800000000000004,25.299999999999997,10.400000000000002,6.2,16.7,28.399999999999995,125.5,293.50000000000006,0.5072307692307693,0.21161538461538465,0.468,0.7233076923076922,0.497,27.615384615384617
2010,denver_nuggets,50.0,32.0,0.6097560975609756,63.69999999999999,136.3,13.0,33.9,50.49999999999999,102.80000000000001,39.6,52.0,16.8,56.699999999999996,73.39999999999999,37.300000000000004,12.899999999999999,8.5,24.0,37.300000000000004,180.3,417.49999999999994,0.49384210526315786,0.32907142857142857,0.47884210526315796,0.743578947368421,0.5169473684210526,27.210526315789473
2011,denver_nuggets,38.0,28.0,0.5757575757575758,59.60000000000001,123.39999999999999,9.0,27.200000000000003,50.699999999999996,96.29999999999998,28.399999999999995,39.60000000000001,17.599999999999998,52.39999999999999,69.99999999999999,33.400000000000006,12.300000000000002,9.500000000000002,23.399999999999995,30.599999999999998,156.10000000000002,369.50000000000006,0.5534705882352942,0.2748181818181818,0.5148235294117648,0.6836874999999999,0.5449411764705883,25.764705882352942
2012,denver_nuggets,57.0,25.0,0.6951219512195121,49.300000000000004,103.5,8.0,22.8,41.300000000000004,80.6,22.3,32.0,16.199999999999996,38.10000000000001,54.39999999999999,28.4,11.200000000000001,7.3999999999999995,17.999999999999996,26.199999999999996,129.1,295.09999999999997,0.5357999999999999,0.29292307692307695,0.5096666666666667,0.6809333333333334,0.5386666666666666,24.733333333333334
2013,denver_nuggets,36.0,46.0,0.43902439024390244,56.0,126.8,12.3,34.10000000000001,43.6,92.60000000000001,25.7,35.300000000000004,18.0,46.099999999999994,64.09999999999998,33.9,11.500000000000004,8.8,23.1,35.20000000000001,149.70000000000002,353.00000000000006,0.46262499999999995,0.3002857142857142,0.439875,0.7508125,0.48506249999999995,26.0
2014,denver_nuggets,30.0,52.0,0.36585365853658536,58.699999999999996,135.09999999999997,12.7,39.8,45.8,95.49999999999999,27.4,36.900000000000006,18.9,49.70000000000001,68.5,33.0,12.1,8.0,22.8,38.800000000000004,157.00000000000006,379.80000000000007,0.47078947368421054,0.2701052631578948,0.4313500000000001,0.7454736842105263,0.4831,25.85
2015,denver_nuggets,33.0,49.0,0.4024390243902439,55.99999999999999,128.6,12.5,37.900000000000006,43.6,90.70000000000002,28.9,38.699999999999996,16.9,49.400000000000006,66.3,35.599999999999994,11.700000000000001,7.8999999999999995,22.1,34.1,153.39999999999998,378.8,0.4916111111111111,0.2980555555555556,0.4064736842105264,0.7544117647058824,0.4593684210526316,25.526315789473685
2016,denver_nuggets,40.0,42.0,0.4878048780487805,58.400000000000006,123.69999999999999,14.4,38.699999999999996,44.00000000000001,84.9,27.000000000000004,35.8,18.4,51.2,69.60000000000001,36.3,10.399999999999999,6.399999999999999,21.299999999999997,30.5,158.40000000000003,352.3,0.5163157894736843,0.32031249999999994,0.49168421052631583,0.7578333333333336,0.5476842105263158,25.473684210526315
2017,denver_nuggets,12.0,9.0,0.5714285714285714,44.19999999999999,99.0,12.200000000000001,36.2,31.900000000000002,62.9,18.499999999999996,25.8,14.099999999999998,38.6,52.8,25.6,9.4,5.1,17.7,20.4,119.10000000000001,288.5,0.5040714285714286,0.2800000000000001,0.4054000000000001,0.7078461538461538,0.45826666666666666,25.5625
2000,orlando_magic,43.0,39.0,0.524390243902439,47.599999999999994,109.69999999999999,8.6,23.2,39.09999999999999,86.5,23.6,34.1,16.1,39.69999999999999,55.900000000000006,32.7,12.1,6.9,21.7,32.5,127.5,330.1,0.443125,0.311,0.435625,0.7121428571428571,0.471,27.125
2001,orlando_magic,44.0,38.0,0.5365853658536586,50.499999999999986,115.49999999999999,9.0,25.7,41.49999999999999,89.69999999999999,25.300000000000004,34.0,17.0,44.300000000000004,60.79999999999999,29.5,11.499999999999998,6.8,19.600000000000005,30.7,135.4,344.29999999999995,0.44605882352941184,0.2419090909090909,0.4259411764705882,0.6930000000000001,0.45799999999999996,28.705882352941178
