season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2009,denver_nuggets,53.0,29.0,0.6463414634146342,23.9,50.8,4.4,11.3,19.6,39.5,18.3,22.200000000000003,5.2,15.200000000000001,20.4,13.0,4.4,1.9,7.8,11.5,70.3,133.0,0.499,0.28400000000000003,0.482,0.7947500000000001,0.5302500000000001,27.25
2010,denver_nuggets,50.0,32.0,0.6097560975609756,23.199999999999996,47.599999999999994,4.4,10.9,18.7,36.8,17.900000000000002,21.700000000000003,4.300000000000001,17.0,21.299999999999997,12.5,3.5,2.2,8.1,9.9,68.8,132.0,0.5175,0.34925,0.50075,0.826,0.5515,28.25
2011,denver_nuggets,38.0,28.0,0.5757575757575758,19.799999999999997,41.4,4.0,11.2,15.8,30.3,12.700000000000001,16.0,5.300000000000001,13.899999999999999,19.3,12.5,3.5999999999999996,1.8,6.6,8.2,56.4,122.3,0.5227499999999999,0.36366666666666664,0.48974999999999996,0.7895000000000001,0.5335000000000001,23.75
2012,denver_nuggets,57.0,25.0,0.6951219512195121,18.5,38.199999999999996,3.0,8.7,15.4,29.500000000000004,8.6,12.9,7.800000000000001,18.8,26.6,9.3,4.1,3.5,6.3,9.3,48.7,117.70000000000002,0.52475,0.22999999999999998,0.5005,0.6417499999999999,0.5325,24.75
2013,denver_nuggets,36.0,46.0,0.43902439024390244,20.7,46.0,5.5,15.100000000000001,15.1,30.799999999999997,11.399999999999999,15.2,4.8999999999999995,14.599999999999998,19.7,15.3,4.0,2.1,8.0,9.8,58.1,124.8,0.484,0.271,0.45125000000000004,0.7552500000000001,0.51,26.5
2014,denver_nuggets,30.0,52.0,0.36585365853658536,21.1,47.0,4.2,12.600000000000001,16.9,34.4,10.0,13.2,5.4,16.200000000000003,21.5,14.399999999999999,3.3,1.4000000000000001,7.1,9.5,56.2,128.0,0.48625000000000007,0.28625,0.44999999999999996,0.75925,0.49274999999999997,27.0
2015,denver_nuggets,33.0,49.0,0.4024390243902439,18.5,40.2,2.9,8.4,15.8,31.9,7.4,10.6,7.0,15.000000000000002,22.0,11.0,3.8,2.2,7.2,9.1,47.599999999999994,109.5,0.50525,0.37649999999999995,0.47575,0.7284999999999999,0.5087499999999999,21.5
2016,denver_nuggets,40.0,42.0,0.4878048780487805,21.5,44.8,5.5,14.7,16.0,30.1,12.3,14.6,4.8,16.4,21.3,13.8,3.3,1.3,7.1000000000000005,7.7,60.8,118.69999999999999,0.52125,0.362,0.47600000000000003,0.82175,0.5375,22.75
2017,denver_nuggets,12.0,9.0,0.5714285714285714,19.700000000000003,42.2,5.800000000000001,16.4,13.8,25.799999999999997,7.0,8.3,5.6000000000000005,15.0,20.7,12.100000000000001,4.3999999999999995,1.7,7.6,8.4,52.3,119.5,0.5365,0.349,0.46449999999999997,0.83925,0.53325,23.75
2000,orlando_magic,43.0,39.0,0.524390243902439,23.0,50.699999999999996,4.5,12.0,18.6,38.7,11.2,15.299999999999997,7.199999999999999,16.6,23.8,16.099999999999998,5.2,3.5999999999999996,8.3,9.6,61.9,137.79999999999998,0.49775,0.40425,0.47975,0.72525,0.524,25.5
2001,orlando_magic,44.0,38.0,0.5365853658536586,22.700000000000003,50.5,4.8999999999999995,13.400000000000002,17.8,37.0,11.0,14.200000000000001,5.8999999999999995,16.6,22.400000000000002,15.299999999999999,5.000000000000001,2.1,7.0,7.7,61.2,134.39999999999998,0.48450000000000004,0.3653333333333333,0.45525,0.77975,0.5022500000000001,28.0
2002,orlando_magic,42.0,40.0,0.5121951219512195,20.0,44.9,4.3999999999999995,11.4,15.5,33.5,11.399999999999999,14.499999999999998,4.7,12.799999999999999,17.5,10.6,4.1,1.4000000000000001,6.1000000000000005,10.299999999999999,55.5,113.1,0.45375000000000004,0.25425,0.4355,0.78525,0.47700000000000004,27.25
2003,orlando_magic,21.0,61.0,0.25609756097560976,21.599999999999998,49.9,3.7,10.5,17.9,39.400000000000006,11.7,14.9,5.6,14.2,20.0,12.3,3.6,1.5,7.3,10.9,58.7,123.19999999999999,0.4595,0.24066666666666667,0.445,0.79775,0.473,27.5
2004,orlando_magic,36.0,46.0,0.43902439024390244,21.8,45.3,0.5,1.8,21.3,43.400000000000006,15.800000000000002,20.2,7.800000000000001,19.4,27.2,11.799999999999999,4.6,3.8,9.5,11.100000000000001,60.0,130.3,0.50225,0.17666666666666667,0.49775,0.7744999999999999,0.502,27.0
2005,orlando_magic,36.0,46.0,0.43902439024390244,18.6,38.099999999999994,1.5,3.9000000000000004,17.1,34.3,10.9,15.7,6.9,18.4,25.3,6.8999999999999995,2.9999999999999996,2.7,6.9,11.600000000000001,49.6,129.6,0.49724999999999997,0.134,0.488,0.716,0.5045000000000001,24.75
2006,orlando_magic,40.0,42.0,0.4878048780487805,18.700000000000003,38.8,2.3,6.3,16.3,32.2,10.3,15.2,6.3,18.200000000000003,24.6,9.899999999999999,3.2,2.7,9.2,11.7,50.0,122.19999999999999,0.49625,0.30574999999999997,0.48525,0.7175,0.511,25.5
2007,orlando_magic,52.0,30.0,0.6341463414634146,24.400000000000002,49.49999999999999,5.699999999999999,14.1,18.7,35.3,15.0,21.1,6.0,22.8,28.8,14.3,3.9,3.0,9.9,11.3,69.3,141.0,0.518,0.30625,0.49475,0.77125,0.54975,25.75
2008,orlando_magic,59.0,23.0,0.7195121951219512,21.9,46.5,5.6,14.5,16.3,32.0,14.299999999999999,20.4,6.3,20.999999999999996,27.1,10.1,3.8,3.9000000000000004,8.5,10.7,63.5,133.70000000000002,0.4945,0.28925,0.4685,0.7667499999999999,0.529,26.0
2009,orlando_magic,59.0,23.0,0.7195121951219512,21.799999999999997,45.8,5.2,13.8,16.5,32.0,12.8,18.400000000000002,5.2,19.400000000000002,24.5,11.8,3.4000000000000004,3.4,8.299999999999999,10.8,61.60000000000001,127.0,0.5075,0.28625,0.48100000000000004,0.77075,0.5367500000000001,28.5
2010,orlando_magic,52.0,30.0,0.6341463414634146,22.3,45.9,5.4,13.8,16.900000000000002,32.1,11.2,17.5,5.5,20.1,25.700000000000003,14.5,4.6,3.0,9.200000000000001,11.2,61.3,137.1,0.507,0.29725,0.48,0.6915,0.54175,28.5
2011,orlando_magic,37.0,29.0,0.5606060606060606,22.1,47.4,6.1,16.2,16.0,31.299999999999997,9.700000000000001,16.2,8.6,20.4,29.0,10.5,4.0,3.0,7.6,9.299999999999999,60.2,129.9,0.49399999999999994,0.2845,0.46175,0.6922499999999999,0.52825,27.25
2012,orlando_magic,20.0,62.0,0.24390243902439024,21.1,46.9,3.7,11.6,17.4,35.4,6.699999999999999,8.6,6.0,17.799999999999997,23.700000000000003,13.200000000000001,3.8999999999999995,2.1,7.7,9.7,52.5,130.5,0.4885,0.22875,0.45275,0.7457499999999999,0.489,24.5
2013,orlando_magic,23.0,59.0,0.2804878048780488,21.8,48.7,4.7,12.7,17.099999999999998,36.0,10.1,12.6,4.5,17.5,22.1,16.3,4.0,1.4,9.600000000000001,9.6,58.3,129.9,0.46799999999999997,0.36733333333333335,0.44475,0.8045,0.493,25.75
2014,orlando_magic,25.0,57.0,0.3048780487804878,25.3,54.0,2.6,7.5,22.6,46.3,10.0,13.5,6.300000000000001,19.5,25.700000000000003,14.399999999999999,5.1000000000000005,1.7,9.0,10.0,63.2,135.10000000000002,0.48075,0.3245,0.4625,0.7275,0.48575,22.0
2015,orlando_magic,35.0,47.0,0.4268292682926829,23.9,51.4,3.8,10.200000000000001,20.1,41.099999999999994,8.5,11.3,4.9,15.2,20.1,15.8,4.8,2.2,8.1,10.0,60.3,126.2,0.486,0.324,0.46149999999999997,0.752,0.5005000000000001,23.0
2016,orlando_magic,29.0,53.0,0.35365853658536583,22.2,48.2,4.9,14.2,17.5,33.900000000000006,8.5,11.0,5.0,14.6,19.7,12.5,3.5,2.7,6.6000000000000005,9.5,57.8,121.5,0.515,0.3265,0.463,0.7655000000000001,0.51175,23.5
2017,orlando_magic,9.0,14.0,0.391304347826087,23.3,48.9,7.499999999999999,19.0,15.7,30.0,8.0,10.1,3.9,19.200000000000003,23.0,9.8,4.1000000000000005,2.7,6.3,8.399999999999999,61.9,120.80000000000001,0.52025,0.386,0.46775000000000005,0.7895,0.5445,25.0
2000,dallas_mavericks,53.0,29.0,0.6463414634146342,24.599999999999998,53.599999999999994,5.5,14.399999999999999,19.1,39.4,13.2,15.799999999999999,3.8,16.2,20.0,17.400000000000002,4.6,1.7999999999999998,8.3,10.100000000000001,67.9,143.79999999999998,0.47525000000000006,0.38425,0.453,0.83325,0.50925,25.75
2001,dallas_mavericks,57.0,25.0,0.6951219512195121,27.6,58.7,4.8,12.0,22.799999999999997,46.6,14.7,17.6,6.1,19.6,25.6,15.200000000000001,3.1,2.0,7.9,10.200000000000001,74.8,143.8,0.489,0.29775,0.47125,0.8327500000000001,0.5105,26.5
2002,dallas_mavericks,60.0,22.0,0.7317073170731707,24.200000000000003,54.1,5.1,13.200000000000001,19.3,40.8,13.1,14.7,4.6,17.7,22.200000000000003,14.7,4.5,1.5,6.5,7.800000000000001,66.5,129.0,0.46675,0.353,0.4465,0.8737499999999999,0.48624999999999996,27.25
2003,dallas_mavericks,52.0,30.0,0.6341463414634146,26.0,57.7,5.7,15.899999999999999,20.4,41.7,11.3,13.7,5.5,19.0,24.5,18.900000000000002,4.1,2.8,8.2,8.8,68.9,144.6,0.48550000000000004,0.355,0.45075,0.7992499999999999,0.50075,27.75
